Precinct,C_TOT22,C_HSP22,C_NHS22,C_WHT22,C_BLA22,C_AMI22,C_ASI22,C_NHP22,C_2OM22,C_BLW22,C_AIW22,C_ASW22,C_AIB22,C_AIA22,C_ASN22,C_BLK22,CVAP_TOT22,CVAP_HSP22,CVAP_NHS22,CVAP_WHT22,CVAP_BLA22,CVAP_AMI22,CVAP_ASI22,CVAP_NHP22,CVAP_2OM22,CVAP_BLW22,CVAP_AIW22,CVAP_ASW22,CVAP_AIB22,CVAP_AIA22,CVAP_ASN22,CVAP_BLK22
177-CENTURY FIRE STATION,5340,365,4970,3785,835,0,180,0,90,75,0,0,0,0,180,910,3585,175,3410,2660,640,0,105,0,0,0,0,0,0,0,105,640
177-CHOKEE,461,10,450,231,252,0,0,0,0,0,9,0,0,8,0,246,397,6,386,210,187,0,0,0,0,0,4,0,0,4,0,186
177-CJC,1733,55,1669,1132,508,0,9,10,0,3,24,0,4,30,9,515,1485,60,1416,888,509,0,0,10,0,0,18,0,4,24,0,516
177-FIRST BAPTIST,6116,66,6047,4030,1960,4,30,0,0,0,30,0,0,34,30,1960,4672,26,4643,3071,1521,4,30,0,0,1,19,0,0,23,30,1522
177-FLINT REFORMED BAPTIST,3699,174,3526,2280,1280,0,61,0,0,0,0,0,0,0,62,1261,2527,120,2403,1714,681,0,37,0,0,0,0,0,0,0,37,681
177-FRIENDSHIP BAPTIST,1468,28,1452,1356,121,0,1,0,0,3,11,0,0,10,1,125,970,17,963,866,91,0,0,0,0,1,12,0,0,12,0,93
177-LEESBURG,4527,30,4499,2797,1556,0,28,0,0,6,54,40,0,53,69,1562,3351,26,3320,2082,1172,0,28,0,0,2,33,15,0,31,43,1173
177-REDBONE,5849,240,5605,4599,633,0,315,4,0,0,15,0,0,16,315,639,4503,179,4329,3695,418,0,180,4,0,0,10,0,0,10,180,419
177-SDA CHURCH,2061,51,2009,1650,190,0,69,0,0,0,10,0,0,10,68,209,1483,45,1437,1226,119,0,53,0,0,0,10,0,0,10,53,119
177-SMITHVILLE,1336,0,1333,960,325,0,2,0,0,0,0,0,0,0,1,324,997,0,998,663,307,0,2,0,0,0,0,0,0,0,2,304
