Precinct,TOTAL_Reg,WHITE_Reg,BLACK_Reg,OTHER_Reg,TOTAL_Dem_Reg,WHITE_Dem_Reg,BLACK_Dem_Reg,OTHER_Dem_Reg,TOTAL_Rep_Reg,WHITE_Rep_Reg,BLACK_Rep_Reg,OTHER_Rep_Reg,TOTAL_Oth_Reg,WHITE_Oth_Reg,BLACK_Oth_Reg,OTHER_Oth_Reg,TOTAL_Voted,WHITE_Voted,BLACK_Voted,OTHER_Voted,TOTAL_Dem_Voted,WHITE_Dem_Voted,BLACK_Dem_Voted,OTHER_Dem_Voted,TOTAL_Rep_Voted,WHITE_Rep_Voted,BLACK_Rep_Voted,OTHER_Rep_Voted,TOTAL_Oth_Voted,WHITE_Oth_Voted,BLACK_Oth_Voted,OTHER_Oth_Voted,TOTAL_Pct,WHITE_Pct,BLACK_Pct,OTHER_Pct,TOTAL_Dem_Pct,WHITE_Dem_Pct,BLACK_Dem_Pct,OTHER_Dem_Pct,TOTAL_Rep_Pct,WHITE_Rep_Pct,BLACK_Rep_Pct,OTHER_Rep_Pct,TOTAL_Oth_Pct,WHITE_Oth_Pct,BLACK_Oth_Pct,OTHER_Oth_Pct
St. Bernard-:-00 41,1058.0,831.0,147.0,80.0,286.0,166.0,100.0,20.0,373.0,351.0,5.0,17.0,399.0,314.0,42.0,43.0,476.0,411.0,36.0,29.0,116.0,80.0,29.0,7.0,207.0,195.0,2.0,10.0,153.0,136.0,5.0,12.0,44.99,49.46,24.49,36.25,40.56,48.19,29.0,35.0,55.5,55.56,40.0,58.82,38.35,43.31,11.9,27.91
St. Bernard-:-00 42,1077.0,900.0,123.0,54.0,336.0,219.0,101.0,16.0,418.0,405.0,1.0,12.0,323.0,276.0,21.0,26.0,566.0,508.0,36.0,22.0,172.0,136.0,30.0,6.0,256.0,249.0,1.0,6.0,138.0,123.0,5.0,10.0,52.55,56.44,29.27,40.74,51.19,62.1,29.7,37.5,61.24,61.48,100.0,50.0,42.72,44.57,23.81,38.46
St. Bernard-:-00 42A,1022.0,874.0,84.0,64.0,315.0,238.0,59.0,18.0,361.0,343.0,0.0,18.0,346.0,293.0,25.0,28.0,481.0,441.0,15.0,25.0,140.0,121.0,13.0,6.0,209.0,198.0,0.0,11.0,132.0,122.0,2.0,8.0,47.06,50.46,17.86,39.06,44.44,50.84,22.03,33.33,57.89,57.73,0.0,61.11,38.15,41.64,8.0,28.57
St. Bernard-:-00 43,699.0,532.0,89.0,78.0,215.0,124.0,71.0,20.0,223.0,203.0,3.0,17.0,261.0,205.0,15.0,41.0,326.0,277.0,22.0,27.0,86.0,62.0,19.0,5.0,132.0,121.0,1.0,10.0,108.0,94.0,2.0,12.0,46.64,52.07,24.72,34.62,40.0,50.0,26.76,25.0,59.19,59.61,33.33,58.82,41.38,45.85,13.33,29.27
St. Bernard-:-00 44,907.0,139.0,738.0,30.0,643.0,63.0,566.0,14.0,52.0,34.0,13.0,5.0,212.0,42.0,159.0,11.0,290.0,44.0,237.0,9.0,234.0,24.0,204.0,6.0,14.0,12.0,2.0,0.0,42.0,8.0,31.0,3.0,31.97,31.65,32.11,30.0,36.39,38.1,36.04,42.86,26.92,35.29,15.38,0.0,19.81,19.05,19.5,27.27
St. Bernard-:-00 45,553.0,94.0,433.0,26.0,361.0,28.0,320.0,13.0,35.0,21.0,10.0,4.0,157.0,45.0,103.0,9.0,157.0,24.0,128.0,5.0,120.0,7.0,109.0,4.0,13.0,10.0,2.0,1.0,24.0,7.0,17.0,0.0,28.39,25.53,29.56,19.23,33.24,25.0,34.06,30.77,37.14,47.62,20.0,25.0,15.29,15.56,16.5,0.0
St. Bernard-:-00 46,447.0,372.0,44.0,31.0,137.0,94.0,32.0,11.0,160.0,148.0,2.0,10.0,150.0,130.0,10.0,10.0,227.0,200.0,14.0,13.0,74.0,58.0,13.0,3.0,91.0,85.0,0.0,6.0,62.0,57.0,1.0,4.0,50.78,53.76,31.82,41.94,54.01,61.7,40.63,27.27,56.88,57.43,0.0,60.0,41.33,43.85,10.0,40.0
St. Bernard-:-00 50,1366.0,440.0,860.0,66.0,867.0,184.0,657.0,26.0,139.0,114.0,19.0,6.0,360.0,142.0,184.0,34.0,503.0,198.0,293.0,12.0,360.0,91.0,267.0,2.0,62.0,62.0,0.0,0.0,81.0,45.0,26.0,10.0,36.82,45.0,34.07,18.18,41.52,49.46,40.64,7.69,44.6,54.39,0.0,0.0,22.5,31.69,14.13,29.41
St. Bernard-:-00 51,523.0,454.0,55.0,14.0,217.0,164.0,50.0,3.0,157.0,152.0,0.0,5.0,149.0,138.0,5.0,6.0,262.0,234.0,23.0,5.0,113.0,91.0,21.0,1.0,86.0,84.0,0.0,2.0,63.0,59.0,2.0,2.0,50.1,51.54,41.82,35.71,52.07,55.49,42.0,33.33,54.78,55.26,0.0,40.0,42.28,42.75,40.0,33.33
St. Bernard-:-00 52,1099.0,780.0,268.0,51.0,462.0,230.0,219.0,13.0,280.0,257.0,6.0,17.0,357.0,293.0,43.0,21.0,529.0,390.0,116.0,23.0,229.0,118.0,104.0,7.0,155.0,148.0,0.0,7.0,145.0,124.0,12.0,9.0,48.13,50.0,43.28,45.1,49.57,51.3,47.49,53.85,55.36,57.59,0.0,41.18,40.62,42.32,27.91,42.86
St. Bernard-:-00 53,380.0,335.0,18.0,27.0,148.0,128.0,13.0,7.0,120.0,111.0,1.0,8.0,112.0,96.0,4.0,12.0,214.0,196.0,7.0,11.0,94.0,86.0,6.0,2.0,74.0,70.0,0.0,4.0,46.0,40.0,1.0,5.0,56.32,58.51,38.89,40.74,63.51,67.19,46.15,28.57,61.67,63.06,0.0,50.0,41.07,41.67,25.0,41.67
St. Bernard-:-00 54,985.0,746.0,172.0,67.0,402.0,243.0,136.0,23.0,231.0,218.0,2.0,11.0,352.0,285.0,34.0,33.0,378.0,291.0,61.0,26.0,166.0,101.0,56.0,9.0,108.0,104.0,0.0,4.0,104.0,86.0,5.0,13.0,38.38,39.01,35.47,38.81,41.29,41.56,41.18,39.13,46.75,47.71,0.0,36.36,29.55,30.18,14.71,39.39
St. Bernard-:-00 55,1367.0,1232.0,72.0,63.0,476.0,405.0,56.0,15.0,439.0,418.0,2.0,19.0,452.0,409.0,14.0,29.0,697.0,646.0,25.0,26.0,245.0,222.0,20.0,3.0,273.0,261.0,1.0,11.0,179.0,163.0,4.0,12.0,50.99,52.44,34.72,41.27,51.47,54.81,35.71,20.0,62.19,62.44,50.0,57.89,39.6,39.85,28.57,41.38
