Precinct,TOTAL_Reg,WHITE_Reg,BLACK_Reg,OTHER_Reg,TOTAL_Dem_Reg,WHITE_Dem_Reg,BLACK_Dem_Reg,OTHER_Dem_Reg,TOTAL_Rep_Reg,WHITE_Rep_Reg,BLACK_Rep_Reg,OTHER_Rep_Reg,TOTAL_Oth_Reg,WHITE_Oth_Reg,BLACK_Oth_Reg,OTHER_Oth_Reg,TOTAL_Voted,WHITE_Voted,BLACK_Voted,OTHER_Voted,TOTAL_Dem_Voted,WHITE_Dem_Voted,BLACK_Dem_Voted,OTHER_Dem_Voted,TOTAL_Rep_Voted,WHITE_Rep_Voted,BLACK_Rep_Voted,OTHER_Rep_Voted,TOTAL_Oth_Voted,WHITE_Oth_Voted,BLACK_Oth_Voted,OTHER_Oth_Voted,TOTAL_Pct,WHITE_Pct,BLACK_Pct,OTHER_Pct,TOTAL_Dem_Pct,WHITE_Dem_Pct,BLACK_Dem_Pct,OTHER_Dem_Pct,TOTAL_Rep_Pct,WHITE_Rep_Pct,BLACK_Rep_Pct,OTHER_Rep_Pct,TOTAL_Oth_Pct,WHITE_Oth_Pct,BLACK_Oth_Pct,OTHER_Oth_Pct
St. Mary-:-PAR 51 00 17,564.0,288.0,256.0,20.0,270.0,63.0,202.0,5.0,145.0,132.0,7.0,6.0,149.0,93.0,47.0,9.0,239.0,140.0,94.0,5.0,121.0,32.0,87.0,2.0,75.0,72.0,1.0,2.0,43.0,36.0,6.0,1.0,42.38,48.61,36.72,25.0,44.81,50.79,43.07,40.0,51.72,54.55,14.29,33.33,28.86,38.71,12.77,11.11
St. Mary-:-PAR 51 00 18,620.0,32.0,577.0,11.0,457.0,7.0,442.0,8.0,30.0,14.0,16.0,0.0,133.0,11.0,119.0,3.0,199.0,9.0,189.0,1.0,175.0,2.0,172.0,1.0,7.0,5.0,2.0,0.0,17.0,2.0,15.0,0.0,32.1,28.13,32.76,9.09,38.29,28.57,38.91,12.5,23.33,35.71,12.5,0.0,12.78,18.18,12.61,0.0
St. Mary-:-PAR 51 00 19,857.0,735.0,97.0,25.0,204.0,137.0,64.0,3.0,419.0,402.0,5.0,12.0,234.0,196.0,28.0,10.0,437.0,384.0,47.0,6.0,104.0,69.0,33.0,2.0,233.0,227.0,3.0,3.0,100.0,88.0,11.0,1.0,50.99,52.24,48.45,24.0,50.98,50.36,51.56,66.67,55.61,56.47,60.0,25.0,42.74,44.9,39.29,10.0
St. Mary-:-PAR 51 00 20,439.0,96.0,326.0,17.0,272.0,23.0,243.0,6.0,56.0,41.0,12.0,3.0,111.0,32.0,71.0,8.0,156.0,30.0,124.0,2.0,113.0,9.0,104.0,0.0,20.0,15.0,4.0,1.0,23.0,6.0,16.0,1.0,35.54,31.25,38.04,11.76,41.54,39.13,42.8,0.0,35.71,36.59,33.33,33.33,20.72,18.75,22.54,12.5
St. Mary-:-PAR 51 00 21,648.0,498.0,130.0,20.0,184.0,83.0,96.0,5.0,267.0,256.0,3.0,8.0,197.0,159.0,31.0,7.0,210.0,171.0,37.0,2.0,53.0,20.0,33.0,0.0,114.0,112.0,0.0,2.0,43.0,39.0,4.0,0.0,32.41,34.34,28.46,10.0,28.8,24.1,34.38,0.0,42.7,43.75,0.0,25.0,21.83,24.53,12.9,0.0
St. Mary-:-PAR 51 00 22,1141.0,917.0,156.0,68.0,255.0,138.0,110.0,7.0,487.0,463.0,5.0,19.0,399.0,316.0,41.0,42.0,432.0,367.0,50.0,15.0,101.0,55.0,45.0,1.0,235.0,228.0,0.0,7.0,96.0,84.0,5.0,7.0,37.86,40.02,32.05,22.06,39.61,39.86,40.91,14.29,48.25,49.24,0.0,36.84,24.06,26.58,12.2,16.67
St. Mary-:-PAR 51 00 23,580.0,414.0,140.0,26.0,184.0,69.0,111.0,4.0,224.0,215.0,3.0,6.0,172.0,130.0,26.0,16.0,211.0,149.0,54.0,8.0,70.0,19.0,49.0,2.0,105.0,102.0,1.0,2.0,36.0,28.0,4.0,4.0,36.38,35.99,38.57,30.77,38.04,27.54,44.14,50.0,46.88,47.44,33.33,33.33,20.93,21.54,15.38,25.0
St. Mary-:-PAR 51 00 24,891.0,540.0,287.0,64.0,286.0,72.0,200.0,14.0,273.0,252.0,7.0,14.0,332.0,216.0,80.0,36.0,270.0,187.0,68.0,15.0,89.0,27.0,60.0,2.0,116.0,107.0,1.0,8.0,65.0,53.0,7.0,5.0,30.3,34.63,23.69,23.44,31.12,37.5,30.0,14.29,42.49,42.46,14.29,57.14,19.58,24.54,8.75,13.89
St. Mary-:-PAR 51 00 25,955.0,291.0,637.0,27.0,543.0,55.0,483.0,5.0,153.0,130.0,16.0,7.0,259.0,106.0,138.0,15.0,306.0,101.0,201.0,4.0,200.0,23.0,176.0,1.0,56.0,51.0,4.0,1.0,50.0,27.0,21.0,2.0,32.04,34.71,31.55,14.81,36.83,41.82,36.44,20.0,36.6,39.23,25.0,14.29,19.31,25.47,15.22,13.33
St. Mary-:-PAR 51 00 26,1021.0,546.0,443.0,32.0,447.0,101.0,334.0,12.0,306.0,280.0,15.0,11.0,268.0,165.0,94.0,9.0,383.0,243.0,134.0,6.0,173.0,53.0,118.0,2.0,150.0,143.0,3.0,4.0,60.0,47.0,13.0,0.0,37.51,44.51,30.25,18.75,38.7,52.48,35.33,16.67,49.02,51.07,20.0,36.36,22.39,28.48,13.83,0.0
St. Mary-:-PAR 51 00 27,648.0,416.0,201.0,31.0,253.0,90.0,155.0,8.0,207.0,194.0,9.0,4.0,188.0,132.0,37.0,19.0,251.0,187.0,59.0,5.0,96.0,44.0,50.0,2.0,111.0,106.0,4.0,1.0,44.0,37.0,5.0,2.0,38.73,44.95,29.35,16.13,37.94,48.89,32.26,25.0,53.62,54.64,44.44,25.0,23.4,28.03,13.51,10.53
St. Mary-:-PAR 51 00 28,711.0,613.0,68.0,30.0,155.0,105.0,48.0,2.0,306.0,291.0,3.0,12.0,250.0,217.0,17.0,16.0,261.0,241.0,16.0,4.0,55.0,40.0,14.0,1.0,154.0,151.0,1.0,2.0,52.0,50.0,1.0,1.0,36.71,39.31,23.53,13.33,35.48,38.1,29.17,50.0,50.33,51.89,33.33,16.67,20.8,23.04,5.88,6.25
St. Mary-:-PAR 51 00 29,1014.0,892.0,67.0,55.0,176.0,125.0,37.0,14.0,477.0,463.0,5.0,9.0,361.0,304.0,25.0,32.0,346.0,325.0,10.0,11.0,61.0,52.0,8.0,1.0,207.0,203.0,0.0,4.0,78.0,70.0,2.0,6.0,34.12,36.43,14.93,20.0,34.66,41.6,21.62,7.14,43.4,43.84,0.0,44.44,21.61,23.03,8.0,18.75
St. Mary-:-PAR 51 00 30,706.0,649.0,25.0,32.0,125.0,108.0,13.0,4.0,334.0,323.0,0.0,11.0,247.0,218.0,12.0,17.0,222.0,211.0,3.0,8.0,38.0,35.0,2.0,1.0,132.0,128.0,0.0,4.0,52.0,48.0,1.0,3.0,31.44,32.51,12.0,25.0,30.4,32.41,15.38,25.0,39.52,39.63,0.0,36.36,21.05,22.02,8.33,17.65
St. Mary-:-PAR 51 00 31,874.0,786.0,53.0,35.0,142.0,100.0,35.0,7.0,538.0,516.0,3.0,19.0,194.0,170.0,15.0,9.0,465.0,433.0,21.0,11.0,80.0,62.0,16.0,2.0,316.0,306.0,2.0,8.0,69.0,65.0,3.0,1.0,53.2,55.09,39.62,31.43,56.34,62.0,45.71,28.57,58.74,59.3,66.67,42.11,35.57,38.24,20.0,11.11
St. Mary-:-PAR 51 00 32,744.0,656.0,55.0,33.0,91.0,58.0,30.0,3.0,443.0,434.0,1.0,8.0,210.0,164.0,24.0,22.0,318.0,303.0,10.0,5.0,34.0,25.0,9.0,0.0,231.0,228.0,0.0,3.0,53.0,50.0,1.0,2.0,42.74,46.19,18.18,15.15,37.36,43.1,30.0,0.0,52.14,52.53,0.0,37.5,25.24,30.49,4.17,9.09
St. Mary-:-PAR 51 00 33,844.0,732.0,74.0,38.0,184.0,134.0,46.0,4.0,368.0,357.0,1.0,10.0,292.0,241.0,27.0,24.0,287.0,259.0,26.0,2.0,64.0,44.0,19.0,1.0,162.0,161.0,1.0,0.0,61.0,54.0,6.0,1.0,34.0,35.38,35.14,5.26,34.78,32.84,41.3,25.0,44.02,45.1,100.0,0.0,20.89,22.41,22.22,4.17
St. Mary-:-PAR 51 00 34,597.0,474.0,90.0,33.0,157.0,82.0,66.0,9.0,205.0,195.0,2.0,8.0,235.0,197.0,22.0,16.0,136.0,115.0,18.0,3.0,36.0,19.0,16.0,1.0,70.0,67.0,1.0,2.0,30.0,29.0,1.0,0.0,22.78,24.26,20.0,9.09,22.93,23.17,24.24,11.11,34.15,34.36,50.0,25.0,12.77,14.72,4.55,0.0
St. Mary-:-PAR 51 00 35,840.0,525.0,272.0,43.0,345.0,129.0,200.0,16.0,224.0,214.0,1.0,9.0,271.0,182.0,71.0,18.0,246.0,172.0,67.0,7.0,106.0,39.0,63.0,4.0,97.0,96.0,0.0,1.0,43.0,37.0,4.0,2.0,29.29,32.76,24.63,16.28,30.72,30.23,31.5,25.0,43.3,44.86,0.0,11.11,15.87,20.33,5.63,11.11
St. Mary-:-PAR 51 00 36,674.0,607.0,29.0,38.0,143.0,119.0,19.0,5.0,359.0,347.0,0.0,12.0,172.0,141.0,10.0,21.0,367.0,341.0,14.0,12.0,89.0,76.0,10.0,3.0,211.0,207.0,0.0,4.0,67.0,58.0,4.0,5.0,54.45,56.18,48.28,31.58,62.24,63.87,52.63,60.0,58.77,59.65,0.0,33.33,38.95,41.13,40.0,23.81
St. Mary-:-PAR 51 00 37,1051.0,774.0,220.0,57.0,314.0,155.0,150.0,9.0,422.0,404.0,5.0,13.0,315.0,215.0,65.0,35.0,433.0,371.0,49.0,13.0,130.0,86.0,42.0,2.0,234.0,230.0,0.0,4.0,69.0,55.0,7.0,7.0,41.2,47.93,22.27,22.81,41.4,55.48,28.0,22.22,55.45,56.93,0.0,30.77,21.9,25.58,10.77,20.0
St. Mary-:-PAR 51 00 38,806.0,537.0,214.0,55.0,301.0,126.0,159.0,16.0,250.0,240.0,5.0,5.0,255.0,171.0,50.0,34.0,262.0,207.0,52.0,3.0,103.0,56.0,47.0,0.0,109.0,108.0,0.0,1.0,50.0,43.0,5.0,2.0,32.51,38.55,24.3,5.45,34.22,44.44,29.56,0.0,43.6,45.0,0.0,20.0,19.61,25.15,10.0,5.88
St. Mary-:-PAR 51 00 39,1089.0,803.0,229.0,57.0,311.0,143.0,156.0,12.0,420.0,396.0,5.0,19.0,358.0,264.0,68.0,26.0,414.0,346.0,52.0,16.0,113.0,68.0,42.0,3.0,215.0,204.0,0.0,11.0,86.0,74.0,10.0,2.0,38.02,43.09,22.71,28.07,36.33,47.55,26.92,25.0,51.19,51.52,0.0,57.89,24.02,28.03,14.71,7.69
St. Mary-:-PAR 51 00 40,747.0,566.0,118.0,63.0,221.0,114.0,93.0,14.0,308.0,292.0,1.0,15.0,218.0,160.0,24.0,34.0,381.0,291.0,69.0,21.0,127.0,60.0,63.0,4.0,173.0,167.0,0.0,6.0,81.0,64.0,6.0,11.0,51.0,51.41,58.47,33.33,57.47,52.63,67.74,28.57,56.17,57.19,0.0,40.0,37.16,40.0,25.0,32.35
St. Mary-:-PAR 51 00 41,777.0,669.0,38.0,70.0,140.0,96.0,29.0,15.0,395.0,374.0,2.0,19.0,242.0,199.0,7.0,36.0,364.0,338.0,9.0,17.0,63.0,55.0,5.0,3.0,213.0,205.0,1.0,7.0,88.0,78.0,3.0,7.0,46.85,50.52,23.68,24.29,45.0,57.29,17.24,20.0,53.92,54.81,50.0,36.84,36.36,39.2,42.86,19.44
St. Mary-:-PAR 51 00 42,599.0,135.0,409.0,55.0,375.0,42.0,310.0,23.0,57.0,40.0,11.0,6.0,167.0,53.0,88.0,26.0,174.0,30.0,136.0,8.0,136.0,8.0,122.0,6.0,17.0,14.0,2.0,1.0,21.0,8.0,12.0,1.0,29.05,22.22,33.25,14.55,36.27,19.05,39.35,26.09,29.82,35.0,18.18,16.67,12.57,15.09,13.64,3.85
St. Mary-:-PAR 51 00 43,540.0,418.0,84.0,38.0,171.0,101.0,64.0,6.0,183.0,177.0,1.0,5.0,186.0,140.0,19.0,27.0,172.0,145.0,23.0,4.0,60.0,42.0,17.0,1.0,76.0,74.0,1.0,1.0,36.0,29.0,5.0,2.0,31.85,34.69,27.38,10.53,35.09,41.58,26.56,16.67,41.53,41.81,100.0,20.0,19.35,20.71,26.32,7.41
St. Mary-:-PAR 51 00 44,219.0,3.0,212.0,4.0,162.0,1.0,160.0,1.0,9.0,0.0,9.0,0.0,48.0,2.0,43.0,3.0,74.0,0.0,73.0,1.0,68.0,0.0,67.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,33.79,0.0,34.43,25.0,41.98,0.0,41.88,100.0,11.11,0.0,11.11,0.0,10.42,0.0,11.63,0.0
St. Mary-:-PAR 51 00 45,756.0,426.0,94.0,236.0,217.0,119.0,64.0,34.0,203.0,150.0,0.0,53.0,336.0,157.0,30.0,149.0,242.0,180.0,31.0,31.0,85.0,53.0,28.0,4.0,80.0,70.0,0.0,10.0,77.0,57.0,3.0,17.0,32.01,42.25,32.98,13.14,39.17,44.54,43.75,11.76,39.41,46.67,0.0,18.87,22.92,36.31,10.0,11.41
