Precinct,TOTAL_Reg,WHITE_Reg,BLACK_Reg,OTHER_Reg,TOTAL_Dem_Reg,WHITE_Dem_Reg,BLACK_Dem_Reg,OTHER_Dem_Reg,TOTAL_Rep_Reg,WHITE_Rep_Reg,BLACK_Rep_Reg,OTHER_Rep_Reg,TOTAL_Oth_Reg,WHITE_Oth_Reg,BLACK_Oth_Reg,OTHER_Oth_Reg,TOTAL_Voted,WHITE_Voted,BLACK_Voted,OTHER_Voted,TOTAL_Dem_Voted,WHITE_Dem_Voted,BLACK_Dem_Voted,OTHER_Dem_Voted,TOTAL_Rep_Voted,WHITE_Rep_Voted,BLACK_Rep_Voted,OTHER_Rep_Voted,TOTAL_Oth_Voted,WHITE_Oth_Voted,BLACK_Oth_Voted,OTHER_Oth_Voted,TOTAL_Pct,WHITE_Pct,BLACK_Pct,OTHER_Pct,TOTAL_Dem_Pct,WHITE_Dem_Pct,BLACK_Dem_Pct,OTHER_Dem_Pct,TOTAL_Rep_Pct,WHITE_Rep_Pct,BLACK_Rep_Pct,OTHER_Rep_Pct,TOTAL_Oth_Pct,WHITE_Oth_Pct,BLACK_Oth_Pct,OTHER_Oth_Pct
St. Mary-:-PAR 51 00 01,78.0,78.0,0.0,0.0,11.0,11.0,0.0,0.0,55.0,55.0,0.0,0.0,12.0,12.0,0.0,0.0,50.0,50.0,0.0,0.0,5.0,5.0,0.0,0.0,40.0,40.0,0.0,0.0,5.0,5.0,0.0,0.0,64.1,64.1,0.0,0.0,45.45,45.45,0.0,0.0,72.73,72.73,0.0,0.0,41.67,41.67,0.0,0.0
St. Mary-:-PAR 51 00 02,428.0,129.0,277.0,22.0,252.0,29.0,219.0,4.0,73.0,65.0,7.0,1.0,103.0,35.0,51.0,17.0,157.0,60.0,95.0,2.0,99.0,12.0,86.0,1.0,43.0,41.0,2.0,0.0,15.0,7.0,7.0,1.0,36.68,46.51,34.3,9.09,39.29,41.38,39.27,25.0,58.9,63.08,28.57,0.0,14.56,20.0,13.73,5.88
St. Mary-:-PAR 51 00 03,557.0,97.0,450.0,10.0,353.0,20.0,329.0,4.0,63.0,46.0,17.0,0.0,141.0,31.0,104.0,6.0,208.0,63.0,144.0,1.0,136.0,12.0,123.0,1.0,41.0,38.0,3.0,0.0,31.0,13.0,18.0,0.0,37.34,64.95,32.0,10.0,38.53,60.0,37.39,25.0,65.08,82.61,17.65,0.0,21.99,41.94,17.31,0.0
St. Mary-:-PAR 51 00 04,363.0,262.0,89.0,12.0,118.0,43.0,74.0,1.0,136.0,126.0,3.0,7.0,109.0,93.0,12.0,4.0,142.0,107.0,31.0,4.0,41.0,13.0,28.0,0.0,70.0,66.0,1.0,3.0,31.0,28.0,2.0,1.0,39.12,40.84,34.83,33.33,34.75,30.23,37.84,0.0,51.47,52.38,33.33,42.86,28.44,30.11,16.67,25.0
St. Mary-:-PAR 51 00 05,650.0,248.0,385.0,17.0,343.0,45.0,294.0,4.0,137.0,125.0,7.0,5.0,170.0,78.0,84.0,8.0,219.0,101.0,114.0,4.0,120.0,16.0,104.0,0.0,67.0,63.0,1.0,3.0,32.0,22.0,9.0,1.0,33.69,40.73,29.61,23.53,34.99,35.56,35.37,0.0,48.91,50.4,14.29,60.0,18.82,28.21,10.71,12.5
St. Mary-:-PAR 51 00 06,789.0,395.0,223.0,171.0,261.0,76.0,155.0,30.0,266.0,196.0,11.0,59.0,262.0,123.0,57.0,82.0,297.0,174.0,78.0,45.0,100.0,36.0,61.0,3.0,124.0,101.0,3.0,20.0,73.0,37.0,14.0,22.0,37.64,44.05,34.98,26.32,38.31,47.37,39.35,10.0,46.62,51.53,27.27,33.9,27.86,30.08,24.56,26.83
St. Mary-:-PAR 51 00 06A,537.0,480.0,39.0,18.0,139.0,104.0,32.0,3.0,245.0,235.0,1.0,9.0,153.0,141.0,6.0,6.0,256.0,247.0,5.0,4.0,57.0,51.0,5.0,1.0,144.0,141.0,0.0,3.0,55.0,55.0,0.0,0.0,47.67,51.46,12.82,22.22,41.01,49.04,15.63,33.33,58.78,60.0,0.0,33.33,35.95,39.01,0.0,0.0
St. Mary-:-PAR 51 00 07,928.0,308.0,591.0,29.0,572.0,93.0,467.0,12.0,144.0,131.0,10.0,3.0,212.0,84.0,114.0,14.0,358.0,154.0,194.0,10.0,224.0,42.0,178.0,4.0,79.0,74.0,4.0,1.0,55.0,38.0,12.0,5.0,38.58,50.0,32.83,34.48,39.16,45.16,38.12,33.33,54.86,56.49,40.0,33.33,25.94,45.24,10.53,35.71
St. Mary-:-PAR 51 00 08,422.0,12.0,402.0,8.0,341.0,6.0,329.0,6.0,8.0,2.0,6.0,0.0,73.0,4.0,67.0,2.0,126.0,2.0,121.0,3.0,123.0,2.0,118.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,29.86,16.67,30.1,37.5,36.07,33.33,35.87,50.0,0.0,0.0,0.0,0.0,4.11,0.0,4.48,0.0
St. Mary-:-PAR 51 00 09,473.0,354.0,101.0,18.0,166.0,90.0,69.0,7.0,169.0,159.0,4.0,6.0,138.0,105.0,28.0,5.0,187.0,154.0,32.0,1.0,71.0,43.0,28.0,0.0,79.0,76.0,2.0,1.0,37.0,35.0,2.0,0.0,39.53,43.5,31.68,5.56,42.77,47.78,40.58,0.0,46.75,47.8,50.0,16.67,26.81,33.33,7.14,0.0
St. Mary-:-PAR 51 00 10,888.0,413.0,451.0,24.0,432.0,83.0,347.0,2.0,255.0,239.0,10.0,6.0,201.0,91.0,94.0,16.0,371.0,221.0,145.0,5.0,176.0,46.0,130.0,0.0,147.0,146.0,0.0,1.0,48.0,29.0,15.0,4.0,41.78,53.51,32.15,20.83,40.74,55.42,37.46,0.0,57.65,61.09,0.0,16.67,23.88,31.87,15.96,25.0
St. Mary-:-PAR 51 00 11,513.0,286.0,205.0,22.0,239.0,85.0,146.0,8.0,125.0,115.0,7.0,3.0,149.0,86.0,52.0,11.0,226.0,164.0,60.0,2.0,103.0,49.0,53.0,1.0,73.0,73.0,0.0,0.0,50.0,42.0,7.0,1.0,44.05,57.34,29.27,9.09,43.1,57.65,36.3,12.5,58.4,63.48,0.0,0.0,33.56,48.84,13.46,9.09
St. Mary-:-PAR 51 00 12,464.0,130.0,312.0,22.0,279.0,41.0,231.0,7.0,49.0,38.0,8.0,3.0,136.0,51.0,73.0,12.0,146.0,34.0,108.0,4.0,111.0,13.0,97.0,1.0,18.0,17.0,0.0,1.0,17.0,4.0,11.0,2.0,31.47,26.15,34.62,18.18,39.78,31.71,41.99,14.29,36.73,44.74,0.0,33.33,12.5,7.84,15.07,16.67
St. Mary-:-PAR 51 00 13,635.0,252.0,323.0,60.0,299.0,59.0,219.0,21.0,141.0,118.0,11.0,12.0,195.0,75.0,93.0,27.0,199.0,111.0,79.0,9.0,107.0,35.0,70.0,2.0,64.0,58.0,2.0,4.0,28.0,18.0,7.0,3.0,31.34,44.05,24.46,15.0,35.79,59.32,31.96,9.52,45.39,49.15,18.18,33.33,14.36,24.0,7.53,11.11
St. Mary-:-PAR 51 00 14,842.0,555.0,250.0,37.0,300.0,102.0,187.0,11.0,355.0,337.0,8.0,10.0,187.0,116.0,55.0,16.0,428.0,331.0,88.0,9.0,134.0,60.0,72.0,2.0,225.0,216.0,3.0,6.0,69.0,55.0,13.0,1.0,50.83,59.64,35.2,24.32,44.67,58.82,38.5,18.18,63.38,64.09,37.5,60.0,36.9,47.41,23.64,6.25
St. Mary-:-PAR 51 00 15,539.0,248.0,269.0,22.0,284.0,66.0,211.0,7.0,104.0,95.0,5.0,4.0,151.0,87.0,53.0,11.0,204.0,116.0,81.0,7.0,114.0,36.0,75.0,3.0,51.0,50.0,0.0,1.0,39.0,30.0,6.0,3.0,37.85,46.77,30.11,31.82,40.14,54.55,35.55,42.86,49.04,52.63,0.0,25.0,25.83,34.48,11.32,27.27
St. Mary-:-PAR 51 00 16,565.0,46.0,503.0,16.0,402.0,19.0,376.0,7.0,29.0,13.0,16.0,0.0,134.0,14.0,111.0,9.0,141.0,13.0,126.0,2.0,126.0,7.0,119.0,0.0,5.0,3.0,2.0,0.0,10.0,3.0,5.0,2.0,24.96,28.26,25.05,12.5,31.34,36.84,31.65,0.0,17.24,23.08,12.5,0.0,7.46,21.43,4.5,22.22
