Precinct,TOTAL_Reg,WHITE_Reg,BLACK_Reg,OTHER_Reg,TOTAL_Dem_Reg,WHITE_Dem_Reg,BLACK_Dem_Reg,OTHER_Dem_Reg,TOTAL_Rep_Reg,WHITE_Rep_Reg,BLACK_Rep_Reg,OTHER_Rep_Reg,TOTAL_Oth_Reg,WHITE_Oth_Reg,BLACK_Oth_Reg,OTHER_Oth_Reg,TOTAL_Voted,WHITE_Voted,BLACK_Voted,OTHER_Voted,TOTAL_Dem_Voted,WHITE_Dem_Voted,BLACK_Dem_Voted,OTHER_Dem_Voted,TOTAL_Rep_Voted,WHITE_Rep_Voted,BLACK_Rep_Voted,OTHER_Rep_Voted,TOTAL_Oth_Voted,WHITE_Oth_Voted,BLACK_Oth_Voted,OTHER_Oth_Voted,TOTAL_Pct,WHITE_Pct,BLACK_Pct,OTHER_Pct,TOTAL_Dem_Pct,WHITE_Dem_Pct,BLACK_Dem_Pct,OTHER_Dem_Pct,TOTAL_Rep_Pct,WHITE_Rep_Pct,BLACK_Rep_Pct,OTHER_Rep_Pct,TOTAL_Oth_Pct,WHITE_Oth_Pct,BLACK_Oth_Pct,OTHER_Oth_Pct
Jefferson-:-00 001,1477.0,1321.0,18.0,138.0,277.0,234.0,14.0,29.0,816.0,778.0,0.0,38.0,384.0,309.0,4.0,71.0,716.0,680.0,4.0,32.0,127.0,122.0,3.0,2.0,461.0,443.0,0.0,18.0,128.0,115.0,1.0,12.0,48.48,51.48,22.22,23.19,45.85,52.14,21.43,6.9,56.5,56.94,0.0,47.37,33.33,37.22,25.0,16.9
Jefferson-:-00 002,979.0,859.0,12.0,108.0,221.0,185.0,4.0,32.0,523.0,491.0,3.0,29.0,235.0,183.0,5.0,47.0,405.0,367.0,4.0,34.0,102.0,87.0,1.0,14.0,239.0,228.0,1.0,10.0,64.0,52.0,2.0,10.0,41.37,42.72,33.33,31.48,46.15,47.03,25.0,43.75,45.7,46.44,33.33,34.48,27.23,28.42,40.0,21.28
Jefferson-:-00 003,796.0,686.0,13.0,97.0,167.0,130.0,9.0,28.0,419.0,393.0,0.0,26.0,210.0,163.0,4.0,43.0,375.0,338.0,4.0,33.0,74.0,61.0,3.0,10.0,232.0,221.0,0.0,11.0,69.0,56.0,1.0,12.0,47.11,49.27,30.77,34.02,44.31,46.92,33.33,35.71,55.37,56.23,0.0,42.31,32.86,34.36,25.0,27.91
Jefferson-:-00 004,634.0,546.0,5.0,83.0,136.0,112.0,2.0,22.0,319.0,301.0,0.0,18.0,179.0,133.0,3.0,43.0,295.0,273.0,2.0,20.0,72.0,66.0,1.0,5.0,164.0,159.0,0.0,5.0,59.0,48.0,1.0,10.0,46.53,50.0,40.0,24.1,52.94,58.93,50.0,22.73,51.41,52.82,0.0,27.78,32.96,36.09,33.33,23.26
Jefferson-:-00 005,711.0,613.0,12.0,86.0,127.0,101.0,10.0,16.0,391.0,368.0,0.0,23.0,193.0,144.0,2.0,47.0,292.0,272.0,3.0,17.0,48.0,42.0,3.0,3.0,186.0,181.0,0.0,5.0,58.0,49.0,0.0,9.0,41.07,44.37,25.0,19.77,37.8,41.58,30.0,18.75,47.57,49.18,0.0,21.74,30.05,34.03,0.0,19.15
Jefferson-:-00 007,830.0,649.0,41.0,140.0,206.0,137.0,26.0,43.0,350.0,315.0,1.0,34.0,274.0,197.0,14.0,63.0,286.0,254.0,6.0,26.0,73.0,60.0,4.0,9.0,155.0,148.0,0.0,7.0,58.0,46.0,2.0,10.0,34.46,39.14,14.63,18.57,35.44,43.8,15.38,20.93,44.29,46.98,0.0,20.59,21.17,23.35,14.29,15.87
Jefferson-:-00 008,652.0,520.0,28.0,104.0,163.0,112.0,19.0,32.0,270.0,249.0,0.0,21.0,219.0,159.0,9.0,51.0,232.0,211.0,4.0,17.0,64.0,57.0,3.0,4.0,123.0,117.0,0.0,6.0,45.0,37.0,1.0,7.0,35.58,40.58,14.29,16.35,39.26,50.89,15.79,12.5,45.56,46.99,0.0,28.57,20.55,23.27,11.11,13.73
Jefferson-:-00 009,1148.0,628.0,278.0,242.0,406.0,151.0,181.0,74.0,319.0,262.0,8.0,49.0,423.0,215.0,89.0,119.0,253.0,200.0,31.0,22.0,76.0,47.0,26.0,3.0,113.0,97.0,2.0,14.0,64.0,56.0,3.0,5.0,22.04,31.85,11.15,9.09,18.72,31.13,14.36,4.05,35.42,37.02,25.0,28.57,15.13,26.05,3.37,4.2
Jefferson-:-00 010,746.0,646.0,14.0,86.0,175.0,150.0,8.0,17.0,307.0,283.0,2.0,22.0,264.0,213.0,4.0,47.0,250.0,240.0,1.0,9.0,57.0,54.0,1.0,2.0,136.0,133.0,0.0,3.0,57.0,53.0,0.0,4.0,33.51,37.15,7.14,10.47,32.57,36.0,12.5,11.76,44.3,47.0,0.0,13.64,21.59,24.88,0.0,8.51
Jefferson-:-00 011,1043.0,702.0,163.0,178.0,305.0,151.0,109.0,45.0,387.0,339.0,5.0,43.0,351.0,212.0,49.0,90.0,319.0,278.0,18.0,23.0,72.0,53.0,14.0,5.0,162.0,154.0,0.0,8.0,85.0,71.0,4.0,10.0,30.58,39.6,11.04,12.92,23.61,35.1,12.84,11.11,41.86,45.43,0.0,18.6,24.22,33.49,8.16,11.11
Jefferson-:-00 012,1206.0,1017.0,9.0,180.0,258.0,207.0,5.0,46.0,604.0,549.0,0.0,55.0,344.0,261.0,4.0,79.0,526.0,490.0,0.0,36.0,109.0,105.0,0.0,4.0,322.0,305.0,0.0,17.0,95.0,80.0,0.0,15.0,43.62,48.18,0.0,20.0,42.25,50.72,0.0,8.7,53.31,55.56,0.0,30.91,27.62,30.65,0.0,18.99
Jefferson-:-00 013,1299.0,1057.0,43.0,199.0,292.0,225.0,23.0,44.0,610.0,565.0,1.0,44.0,397.0,267.0,19.0,111.0,518.0,469.0,7.0,42.0,104.0,95.0,1.0,8.0,323.0,303.0,1.0,19.0,91.0,71.0,5.0,15.0,39.88,44.37,16.28,21.11,35.62,42.22,4.35,18.18,52.95,53.63,100.0,43.18,22.92,26.59,26.32,13.51
Jefferson-:-00 014,484.0,421.0,5.0,58.0,111.0,99.0,4.0,8.0,254.0,237.0,0.0,17.0,119.0,85.0,1.0,33.0,215.0,201.0,2.0,12.0,46.0,44.0,2.0,0.0,125.0,120.0,0.0,5.0,44.0,37.0,0.0,7.0,44.42,47.74,40.0,20.69,41.44,44.44,50.0,0.0,49.21,50.63,0.0,29.41,36.97,43.53,0.0,21.21
Jefferson-:-00 015,504.0,360.0,50.0,94.0,143.0,91.0,32.0,20.0,204.0,180.0,2.0,22.0,157.0,89.0,16.0,52.0,169.0,151.0,6.0,12.0,35.0,31.0,4.0,0.0,92.0,88.0,0.0,4.0,42.0,32.0,2.0,8.0,33.53,41.94,12.0,12.77,24.48,34.07,12.5,0.0,45.1,48.89,0.0,18.18,26.75,35.96,12.5,15.38
Jefferson-:-00 016,561.0,454.0,19.0,88.0,142.0,105.0,11.0,26.0,246.0,229.0,1.0,16.0,173.0,120.0,7.0,46.0,206.0,190.0,2.0,14.0,57.0,50.0,0.0,7.0,120.0,116.0,0.0,4.0,29.0,24.0,2.0,3.0,36.72,41.85,10.53,15.91,40.14,47.62,0.0,26.92,48.78,50.66,0.0,25.0,16.76,20.0,28.57,6.52
Jefferson-:-00 017,1543.0,1264.0,68.0,211.0,388.0,298.0,49.0,41.0,703.0,644.0,3.0,56.0,452.0,322.0,16.0,114.0,614.0,553.0,12.0,49.0,153.0,140.0,9.0,4.0,336.0,315.0,0.0,21.0,125.0,98.0,3.0,24.0,39.79,43.75,17.65,23.22,39.43,46.98,18.37,9.76,47.8,48.91,0.0,37.5,27.65,30.43,18.75,21.05
Jefferson-:-00 018,1076.0,836.0,59.0,181.0,299.0,208.0,39.0,52.0,444.0,392.0,1.0,51.0,333.0,236.0,19.0,78.0,397.0,358.0,10.0,29.0,107.0,95.0,8.0,4.0,211.0,197.0,0.0,14.0,79.0,66.0,2.0,11.0,36.9,42.82,16.95,16.02,35.79,45.67,20.51,7.69,47.52,50.26,0.0,27.45,23.72,27.97,10.53,14.1
