Precinct,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
223-BEULAHLAND BAPTIST CHURCH,3922,3697,3086,515,5,17,2,72,225,218,54,75,10,4,51,6,2,0,16,0,0,0,0,0,0,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3922,152,3770,3594,3057,502,5,17,2,11,176,172,53,75,10,4,14,6,2,0,8,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2859,2723,2274,388,1,14,2,44,136,131,14,57,5,0,33,6,2,0,14,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2859,90,2769,2660,2257,379,1,14,2,7,109,105,14,57,5,0,13,6,2,0,8,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223-BURNT HICKORY PARK,9076,8437,7505,592,31,72,7,230,639,601,78,184,57,3,242,8,7,2,15,0,0,2,1,2,0,36,18,3,0,2,0,0,7,0,2,3,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9076,518,8558,8150,7411,575,20,70,7,67,408,389,69,182,55,1,61,2,7,2,7,0,0,0,1,2,0,17,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6596,6224,5596,406,23,48,4,147,372,349,27,129,21,3,145,4,6,1,9,0,0,2,0,2,0,22,10,3,0,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6596,302,6294,6053,5546,402,17,46,4,38,241,231,23,128,21,1,43,2,6,1,4,0,0,0,0,2,0,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223-CROSSROADS LIBRARY,4987,4726,3893,644,2,105,2,80,261,251,21,55,28,0,135,1,0,2,2,1,1,5,0,0,0,10,3,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4987,249,4738,4599,3824,640,1,105,2,27,139,133,21,49,27,0,28,1,0,2,2,1,1,1,0,0,0,6,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3566,3392,2797,465,0,81,2,47,174,170,10,45,6,0,103,1,0,2,0,1,1,1,0,0,0,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3566,157,3409,3316,2756,461,0,81,2,16,93,90,10,45,6,0,23,1,0,2,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223-D WRIGHT INNOVATION CTR,10452,9659,6243,2945,59,60,12,340,793,740,139,204,41,9,252,33,22,1,38,0,0,1,0,0,0,52,15,8,2,17,0,0,3,2,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10452,780,9672,9138,6091,2880,34,59,11,63,534,495,128,203,41,9,44,32,22,1,14,0,0,1,0,0,0,38,13,8,0,9,0,0,2,1,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7615,7125,4762,2047,47,41,11,217,490,460,51,160,23,6,171,24,5,1,18,0,0,1,0,0,0,29,11,4,0,8,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7615,471,7144,6807,4666,2014,30,41,10,46,337,310,44,160,23,6,34,23,5,1,13,0,0,1,0,0,0,26,11,4,0,5,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223-DOBBINS MIDDLE SCHOOL,11244,10351,5686,4054,37,110,2,462,893,851,155,126,35,5,409,28,20,1,70,0,0,0,0,2,0,37,10,6,0,13,0,0,3,2,0,0,0,0,0,0,3,0,0,0,0,0,5,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11244,1053,10191,9690,5472,3997,25,108,2,86,501,471,149,114,34,5,80,27,20,1,40,0,0,0,0,1,0,28,10,6,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8405,7816,4368,3012,31,88,0,317,589,568,73,96,29,4,277,21,15,1,51,0,0,0,0,1,0,16,6,3,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,5,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8405,687,7718,7391,4245,2981,23,86,0,56,327,311,70,85,28,4,54,21,15,1,33,0,0,0,0,0,0,14,6,3,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223-EAST PAULDING MIDDLE SCH,17432,16146,12773,2476,77,214,26,580,1286,1224,197,290,101,6,513,14,14,3,71,4,0,7,2,1,1,57,18,5,0,16,1,0,9,1,2,1,0,0,2,0,0,0,2,0,0,0,5,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17432,1402,16030,15268,12466,2428,51,208,23,92,762,730,186,283,97,6,100,11,14,3,22,4,0,0,2,1,1,29,14,3,0,7,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13116,12323,9940,1754,43,171,23,392,793,747,69,214,54,2,331,10,10,0,48,1,0,7,1,0,0,42,13,3,0,11,0,0,8,1,1,1,0,0,2,0,0,0,2,0,0,0,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13116,917,12199,11739,9739,1728,26,171,21,54,460,440,62,214,53,2,71,7,10,0,19,1,0,0,1,0,0,18,9,3,0,2,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,0,0,43,0,0,0,0,0
223-EVENTS PLACE,7630,7060,2897,3716,46,121,10,270,570,526,109,89,39,1,194,32,12,0,41,0,0,1,1,4,3,42,17,4,0,11,2,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7630,684,6946,6602,2770,3639,26,118,10,39,344,319,106,83,35,1,26,31,12,0,22,0,0,0,1,2,0,24,13,4,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5683,5347,2360,2671,38,92,1,185,336,303,53,64,17,1,120,21,9,0,12,0,0,0,1,2,3,31,14,3,0,7,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5683,440,5243,5040,2279,2628,20,90,1,22,203,185,52,59,13,1,22,21,9,0,6,0,0,0,1,1,0,17,11,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223-LEGACY BAPT CHURCH,6546,6134,4029,1849,17,66,2,171,412,400,99,105,16,0,125,11,8,0,33,2,0,1,0,0,0,10,3,0,2,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6546,408,6138,5855,3925,1802,16,66,2,44,283,279,92,103,15,0,29,11,8,0,19,2,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4966,4706,3235,1298,10,47,0,116,260,257,39,81,13,0,89,10,2,0,20,2,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4966,265,4701,4530,3178,1268,10,47,0,27,171,171,38,81,13,0,17,10,2,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223-MULBERRY ROCK PARK,8502,7964,7074,681,27,55,4,123,538,501,74,198,43,1,148,9,2,0,23,1,0,0,1,1,0,31,13,11,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,6,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8502,326,8176,7756,6971,670,22,51,4,38,420,392,72,197,41,1,53,9,2,0,14,1,0,0,1,1,0,24,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6370,6048,5409,480,23,47,4,85,322,300,17,138,17,1,101,6,0,0,18,1,0,0,1,0,0,16,7,5,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6370,204,6166,5919,5355,472,22,43,4,23,247,231,17,137,17,1,40,6,0,0,11,1,0,0,1,0,0,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223-NEBO ELEM SCHOOL,13996,12996,10453,2026,42,72,4,399,1000,943,222,260,56,3,327,17,6,0,38,1,0,13,0,0,0,44,19,4,1,9,1,0,8,0,1,0,0,0,0,0,0,1,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,13996,953,13043,12404,10240,1993,25,71,2,73,639,618,214,255,46,3,60,17,6,0,12,1,0,4,0,0,0,20,13,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10641,10056,8195,1474,33,67,4,283,585,565,84,189,17,3,222,13,4,0,24,1,0,8,0,0,0,11,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10641,603,10038,9665,8068,1462,19,66,2,48,373,363,84,189,17,3,43,13,4,0,7,1,0,2,0,0,0,9,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
