Precinct,total_reg,age_18_19,age_20_24,age_25_29,age_30_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85over,voters_gender_m,voters_gender_f,voters_gender_unknown,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_23,eth2_10,eth2_30,eth2_81,eth2_21,eth2_14,eth2_34,eth2_32,eth2_12,eth2_29,eth2_61,eth2_35,eth2_85,eth2_33,eth2_15,eth2_66,eth2_55,eth2_19,eth2_38,eth2_26,eth2_13,eth2_59,eth2_unk,languages_description_english,languages_description_spanish,languages_description_vietnamese,languages_description_hindi,languages_description_chinese,languages_description_korean,languages_description_other,languages_description_unknown,commercialdata_estimatedhhincomeamount_avg,s20221220_voted_all,s20221220_reg_all,s20221220_voted_gender_m,s20221220_reg_gender_m,s20221220_voted_gender_f,s20221220_reg_gender_f,s20221220_voted_gender_unk,s20221220_reg_gender_unk,s20221220_voted_eur,s20221220_reg_eur,s20221220_voted_hisp,s20221220_reg_hisp,s20221220_voted_aa,s20221220_reg_aa,s20221220_voted_esa,s20221220_reg_esa,s20221220_voted_oth,s20221220_reg_oth,s20221220_voted_unk,s20221220_reg_unk,r20221206_voted_all,r20221206_reg_all,r20221206_voted_gender_m,r20221206_reg_gender_m,r20221206_voted_gender_f,r20221206_reg_gender_f,r20221206_voted_gender_unk,r20221206_reg_gender_unk,r20221206_voted_eur,r20221206_reg_eur,r20221206_voted_hisp,r20221206_reg_hisp,r20221206_voted_aa,r20221206_reg_aa,r20221206_voted_esa,r20221206_reg_esa,r20221206_voted_oth,r20221206_reg_oth,r20221206_voted_unk,r20221206_reg_unk,g20221108_voted_all,g20221108_reg_all,g20221108_voted_gender_m,g20221108_reg_gender_m,g20221108_voted_gender_f,g20221108_reg_gender_f,g20221108_voted_gender_unk,g20221108_reg_gender_unk,g20221108_voted_eur,g20221108_reg_eur,g20221108_voted_hisp,g20221108_reg_hisp,g20221108_voted_aa,g20221108_reg_aa,g20221108_voted_esa,g20221108_reg_esa,g20221108_voted_oth,g20221108_reg_oth,g20221108_voted_unk,g20221108_reg_unk,s20221108_voted_all,s20221108_reg_all,s20221108_voted_gender_m,s20221108_reg_gender_m,s20221108_voted_gender_f,s20221108_reg_gender_f,s20221108_voted_gender_unk,s20221108_reg_gender_unk,s20221108_voted_eur,s20221108_reg_eur,s20221108_voted_hisp,s20221108_reg_hisp,s20221108_voted_aa,s20221108_reg_aa,s20221108_voted_esa,s20221108_reg_esa,s20221108_voted_oth,s20221108_reg_oth,s20221108_voted_unk,s20221108_reg_unk,r20220621_voted_all,r20220621_reg_all,r20220621_voted_gender_m,r20220621_reg_gender_m,r20220621_voted_gender_f,r20220621_reg_gender_f,r20220621_voted_gender_unk,r20220621_reg_gender_unk,r20220621_voted_eur,r20220621_reg_eur,r20220621_voted_hisp,r20220621_reg_hisp,r20220621_voted_aa,r20220621_reg_aa,r20220621_voted_esa,r20220621_reg_esa,r20220621_voted_oth,r20220621_reg_oth,r20220621_voted_unk,r20220621_reg_unk,s20220621_voted_all,s20220621_reg_all,s20220621_voted_gender_m,s20220621_reg_gender_m,s20220621_voted_gender_f,s20220621_reg_gender_f,s20220621_voted_gender_unk,s20220621_reg_gender_unk,s20220621_voted_eur,s20220621_reg_eur,s20220621_voted_hisp,s20220621_reg_hisp,s20220621_voted_aa,s20220621_reg_aa,s20220621_voted_esa,s20220621_reg_esa,s20220621_voted_oth,s20220621_reg_oth,s20220621_voted_unk,s20220621_reg_unk,p20220524_voted_all,p20220524_reg_all,p20220524_voted_gender_m,p20220524_reg_gender_m,p20220524_voted_gender_f,p20220524_reg_gender_f,p20220524_voted_gender_unk,p20220524_reg_gender_unk,p20220524_voted_eur,p20220524_reg_eur,p20220524_voted_hisp,p20220524_reg_hisp,p20220524_voted_aa,p20220524_reg_aa,p20220524_voted_esa,p20220524_reg_esa,p20220524_voted_oth,p20220524_reg_oth,p20220524_voted_unk,p20220524_reg_unk,s20220524_voted_all,s20220524_reg_all,s20220524_voted_gender_m,s20220524_reg_gender_m,s20220524_voted_gender_f,s20220524_reg_gender_f,s20220524_voted_gender_unk,s20220524_reg_gender_unk,s20220524_voted_eur,s20220524_reg_eur,s20220524_voted_hisp,s20220524_reg_hisp,s20220524_voted_aa,s20220524_reg_aa,s20220524_voted_esa,s20220524_reg_esa,s20220524_voted_oth,s20220524_reg_oth,s20220524_voted_unk,s20220524_reg_unk,r20220503_voted_all,r20220503_reg_all,r20220503_voted_gender_m,r20220503_reg_gender_m,r20220503_voted_gender_f,r20220503_reg_gender_f,r20220503_voted_gender_unk,r20220503_reg_gender_unk,r20220503_voted_eur,r20220503_reg_eur,r20220503_voted_hisp,r20220503_reg_hisp,r20220503_voted_aa,r20220503_reg_aa,r20220503_voted_esa,r20220503_reg_esa,r20220503_voted_oth,r20220503_reg_oth,r20220503_voted_unk,r20220503_reg_unk,r20220412_voted_all,r20220412_reg_all,r20220412_voted_gender_m,r20220412_reg_gender_m,r20220412_voted_gender_f,r20220412_reg_gender_f,r20220412_voted_gender_unk,r20220412_reg_gender_unk,r20220412_voted_eur,r20220412_reg_eur,r20220412_voted_hisp,r20220412_reg_hisp,r20220412_voted_aa,r20220412_reg_aa,r20220412_voted_esa,r20220412_reg_esa,r20220412_voted_oth,r20220412_reg_oth,r20220412_voted_unk,r20220412_reg_unk,s20220405_voted_all,s20220405_reg_all,s20220405_voted_gender_m,s20220405_reg_gender_m,s20220405_voted_gender_f,s20220405_reg_gender_f,s20220405_voted_gender_unk,s20220405_reg_gender_unk,s20220405_voted_eur,s20220405_reg_eur,s20220405_voted_hisp,s20220405_reg_hisp,s20220405_voted_aa,s20220405_reg_aa,s20220405_voted_esa,s20220405_reg_esa,s20220405_voted_oth,s20220405_reg_oth,s20220405_voted_unk,s20220405_reg_unk,s20220315_voted_all,s20220315_reg_all,s20220315_voted_gender_m,s20220315_reg_gender_m,s20220315_voted_gender_f,s20220315_reg_gender_f,s20220315_voted_gender_unk,s20220315_reg_gender_unk,s20220315_voted_eur,s20220315_reg_eur,s20220315_voted_hisp,s20220315_reg_hisp,s20220315_voted_aa,s20220315_reg_aa,s20220315_voted_esa,s20220315_reg_esa,s20220315_voted_oth,s20220315_reg_oth,s20220315_voted_unk,s20220315_reg_unk,r20211130_voted_all,r20211130_reg_all,r20211130_voted_gender_m,r20211130_reg_gender_m,r20211130_voted_gender_f,r20211130_reg_gender_f,r20211130_voted_gender_unk,r20211130_reg_gender_unk,r20211130_voted_eur,r20211130_reg_eur,r20211130_voted_hisp,r20211130_reg_hisp,r20211130_voted_aa,r20211130_reg_aa,r20211130_voted_esa,r20211130_reg_esa,r20211130_voted_oth,r20211130_reg_oth,r20211130_voted_unk,r20211130_reg_unk,r20211019_voted_all,r20211019_reg_all,r20211019_voted_gender_m,r20211019_reg_gender_m,r20211019_voted_gender_f,r20211019_reg_gender_f,r20211019_voted_gender_unk,r20211019_reg_gender_unk,r20211019_voted_eur,r20211019_reg_eur,r20211019_voted_hisp,r20211019_reg_hisp,r20211019_voted_aa,r20211019_reg_aa,r20211019_voted_esa,r20211019_reg_esa,r20211019_voted_oth,r20211019_reg_oth,r20211019_voted_unk,r20211019_reg_unk,g20201103_voted_all,g20201103_reg_all,g20201103_voted_gender_m,g20201103_reg_gender_m,g20201103_voted_gender_f,g20201103_reg_gender_f,g20201103_voted_gender_unk,g20201103_reg_gender_unk,g20201103_voted_eur,g20201103_reg_eur,g20201103_voted_hisp,g20201103_reg_hisp,g20201103_voted_aa,g20201103_reg_aa,g20201103_voted_esa,g20201103_reg_esa,g20201103_voted_oth,g20201103_reg_oth,g20201103_voted_unk,g20201103_reg_unk,pp20200609_voted_all,pp20200609_reg_all,pp20200609_voted_gender_m,pp20200609_reg_gender_m,pp20200609_voted_gender_f,pp20200609_reg_gender_f,pp20200609_voted_gender_unk,pp20200609_reg_gender_unk,pp20200609_voted_eur,pp20200609_reg_eur,pp20200609_voted_hisp,pp20200609_reg_hisp,pp20200609_voted_aa,pp20200609_reg_aa,pp20200609_voted_esa,pp20200609_reg_esa,pp20200609_voted_oth,pp20200609_reg_oth,pp20200609_voted_unk,pp20200609_reg_unk,p20200609_voted_all,p20200609_reg_all,p20200609_voted_gender_m,p20200609_reg_gender_m,p20200609_voted_gender_f,p20200609_reg_gender_f,p20200609_voted_gender_unk,p20200609_reg_gender_unk,p20200609_voted_eur,p20200609_reg_eur,p20200609_voted_hisp,p20200609_reg_hisp,p20200609_voted_aa,p20200609_reg_aa,p20200609_voted_esa,p20200609_reg_esa,p20200609_voted_oth,p20200609_reg_oth,p20200609_voted_unk,p20200609_reg_unk
223 - NO BLOCK ASSIGNMENT,1041,8,69,99,116,223,168,144,129,65,20,493,548,0,320,414,307,0,0,657,65,221,7,12,79,657,185,65,36,1,2,2,5,1,1,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,79,380,4,1,0,0,0,1,655,95048.0,0,1041,0,493,0,548,0,0,0,657,0,65,0,221,0,7,0,12,0,79,578,1041,270,493,308,548,0,0,380,657,29,65,121,221,3,7,3,12,42,79,646,1039,308,493,338,546,0,0,432,656,35,65,125,220,3,7,2,12,49,79,0,1039,0,493,0,546,0,0,0,656,0,65,0,220,0,7,0,12,0,79,13,995,5,473,8,522,0,0,7,636,1,61,4,207,0,6,0,10,1,75,5,995,2,473,3,522,0,0,3,636,0,61,2,207,0,6,0,10,0,75,276,993,132,473,144,520,0,0,197,635,7,61,47,206,0,6,0,10,25,75,27,993,12,473,15,520,0,0,18,635,0,61,9,206,0,6,0,10,0,75,0,986,0,469,0,517,0,0,0,630,0,61,0,206,0,6,0,9,0,74,0,980,0,467,0,513,0,0,0,627,0,61,0,203,0,6,0,9,0,74,0,974,0,464,0,510,0,0,0,624,0,58,0,203,0,6,0,9,0,74,0,965,0,460,0,505,0,0,0,618,0,58,0,201,0,6,0,8,0,74,0,947,0,452,0,495,0,0,0,610,0,56,0,198,0,6,0,6,0,71,0,947,0,452,0,495,0,0,0,610,0,56,0,198,0,6,0,6,0,71,766,918,354,436,412,482,0,0,497,596,45,53,157,188,5,5,4,6,58,70,359,851,149,411,210,440,0,0,228,563,18,48,89,170,0,3,2,4,22,63,359,851,149,411,210,440,0,0,228,563,18,48,89,170,0,3,2,4,22,63
223-BEULAHLAND BAPTIST CHURCH,2517,26,206,241,253,536,453,371,251,146,34,1218,1299,0,477,996,1044,0,3,1921,69,362,11,21,133,1921,329,68,33,6,1,6,12,1,1,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,136,1054,4,0,2,0,1,6,1453,2959031.0,0,2517,0,1218,0,1299,0,0,0,1921,0,69,0,362,0,11,0,21,0,133,1153,2516,558,1218,595,1298,0,0,926,1920,16,69,141,362,2,11,4,21,64,133,1329,2512,634,1215,695,1297,0,0,1069,1919,25,69,156,359,3,11,5,21,71,133,0,2512,0,1215,0,1297,0,0,0,1919,0,69,0,359,0,11,0,21,0,133,16,2455,6,1187,10,1268,0,0,3,1877,0,65,12,353,0,11,0,18,1,131,0,2455,0,1187,0,1268,0,0,0,1877,0,65,0,353,0,11,0,18,0,131,594,2439,279,1181,315,1258,0,0,493,1865,4,64,63,351,2,11,1,17,31,131,0,2439,0,1181,0,1258,0,0,0,1865,0,64,0,351,0,11,0,17,0,131,0,2427,0,1175,0,1252,0,0,0,1858,0,63,0,350,0,11,0,16,0,129,0,2416,0,1174,0,1242,0,0,0,1852,0,62,0,347,0,11,0,15,0,129,0,2414,0,1172,0,1242,0,0,0,1851,0,62,0,347,0,11,0,14,0,129,0,2409,0,1168,0,1241,0,0,0,1848,0,62,0,346,0,11,0,14,0,128,0,2388,0,1156,0,1232,0,0,0,1832,0,62,0,342,0,11,0,13,0,128,0,2382,0,1153,0,1229,0,0,0,1829,0,61,0,341,0,11,0,13,0,127,1688,2299,776,1119,912,1180,0,0,1330,1776,38,58,208,319,8,11,9,11,95,124,740,2168,335,1045,405,1123,0,0,586,1682,10,49,106,300,1,10,1,11,36,116,740,2168,335,1045,405,1123,0,0,586,1682,10,49,106,300,1,10,1,11,36,116
223-BURNT HICKORY PARK,7149,91,665,576,605,1385,1429,1212,703,379,104,3446,3703,0,1121,3460,2568,0,19,5509,363,645,49,97,486,5509,597,355,48,18,10,15,37,2,8,11,2,8,2,9,3,4,0,0,8,7,0,3,3,0,2,505,3197,28,1,5,3,1,8,3925,9503510.0,0,7149,0,3446,0,3703,0,0,0,5509,0,363,0,645,0,49,0,97,0,486,3816,7149,1848,3446,1968,3703,0,0,3092,5509,116,363,293,645,21,49,38,97,256,486,4407,7135,2126,3440,2281,3695,0,0,3568,5500,145,361,327,645,25,49,44,96,298,484,0,7135,0,3440,0,3695,0,0,0,5500,0,361,0,645,0,49,0,96,0,484,46,6932,19,3341,27,3591,0,0,27,5371,0,345,18,610,0,47,1,88,0,471,0,6932,0,3341,0,3591,0,0,0,5371,0,345,0,610,0,47,0,88,0,471,2081,6903,1035,3328,1046,3575,0,0,1760,5354,53,341,108,604,10,47,10,86,140,471,1,6903,1,3328,0,3575,0,0,1,5354,0,341,0,604,0,47,0,86,0,471,0,6874,0,3311,0,3563,0,0,0,5336,0,338,0,602,0,45,0,83,0,470,0,6850,0,3298,0,3552,0,0,0,5323,0,336,0,596,0,44,0,83,0,468,0,6845,0,3293,0,3552,0,0,0,5320,0,335,0,595,0,44,0,83,0,468,0,6828,0,3286,0,3542,0,0,0,5307,0,334,0,592,0,44,0,83,0,468,0,6775,0,3262,0,3513,0,0,0,5276,0,324,0,585,0,44,0,82,0,464,0,6759,0,3254,0,3505,0,0,0,5269,0,324,0,581,0,43,0,82,0,460,5245,6507,2475,3135,2770,3372,0,0,4199,5112,217,295,400,545,31,38,57,78,341,439,2556,6188,1173,2969,1383,3219,0,0,2102,4909,59,269,202,494,18,35,18,71,157,410,2556,6188,1173,2969,1383,3219,0,0,2102,4909,59,269,202,494,18,35,18,71,157,410
223-CROSSROADS LIBRARY,3617,58,410,228,151,596,903,670,357,207,37,1805,1812,0,782,1730,1105,0,2,2443,214,499,63,64,334,2443,466,211,33,24,14,24,20,13,10,11,2,1,3,0,0,0,2,0,3,1,1,0,0,0,0,336,1599,25,4,1,0,2,16,1972,3080471.0,0,3617,0,1805,0,1812,0,0,0,2443,0,214,0,499,0,63,0,64,0,334,2206,3617,1094,1805,1112,1812,0,0,1532,2443,99,214,314,499,26,63,34,64,201,334,2495,3605,1238,1799,1257,1806,0,0,1752,2440,111,213,345,496,32,62,33,64,222,330,0,3605,0,1799,0,1806,0,0,0,2440,0,213,0,496,0,62,0,64,0,330,35,3494,12,1740,23,1754,0,0,12,2378,0,202,21,474,1,59,1,62,0,319,0,3494,0,1740,0,1754,0,0,0,2378,0,202,0,474,0,59,0,62,0,319,1165,3477,576,1732,589,1745,0,0,874,2367,34,202,137,470,10,58,8,62,102,318,1,3477,0,1732,1,1745,0,0,1,2367,0,202,0,470,0,58,0,62,0,318,0,3466,0,1727,0,1739,0,0,0,2360,0,200,0,470,0,56,0,62,0,318,0,3456,0,1722,0,1734,0,0,0,2354,0,198,0,470,0,56,0,62,0,316,0,3454,0,1721,0,1733,0,0,0,2353,0,197,0,470,0,56,0,62,0,316,0,3444,0,1714,0,1730,0,0,0,2347,0,197,0,470,0,54,0,61,0,315,1,3404,0,1695,1,1709,0,0,0,2325,0,190,1,463,0,52,0,60,0,314,0,3395,0,1693,0,1702,0,0,0,2321,0,188,0,463,0,52,0,59,0,312,2854,3261,1400,1619,1454,1642,0,0,1989,2242,143,182,396,448,38,45,39,49,249,295,1442,3105,690,1541,752,1564,0,0,990,2153,50,168,240,416,15,42,15,46,132,280,1442,3105,690,1541,752,1564,0,0,990,2153,50,168,240,416,15,42,15,46,132,280
223-D WRIGHT INNOVATION CTR,6662,83,690,663,597,1129,1268,1202,671,314,45,3116,3545,1,2440,2017,2205,0,1,3875,397,1986,49,83,272,3875,1761,394,225,8,17,7,45,7,8,17,1,5,0,0,3,4,0,1,3,3,0,2,2,1,1,273,2739,37,2,1,1,1,14,3868,2617138.0,0,6662,0,3116,0,3545,0,1,0,3875,0,397,0,1986,0,49,0,83,0,272,3124,6662,1375,3116,1749,3545,0,1,1915,3875,101,397,936,1986,18,49,33,83,121,272,3544,6646,1569,3109,1975,3536,0,1,2181,3868,125,395,1036,1980,24,49,38,83,140,271,1,6646,0,3109,1,3536,0,1,0,3868,0,395,1,1980,0,49,0,83,0,271,281,6431,104,3000,177,3430,0,1,164,3784,8,372,95,1892,0,45,5,79,9,259,225,6431,87,3000,138,3430,0,1,160,3784,4,372,47,1892,0,45,4,79,10,259,1649,6398,733,2986,916,3411,0,1,1092,3768,44,368,435,1880,7,45,14,79,57,258,640,6398,275,2986,365,3411,0,1,455,3768,13,368,134,1880,3,45,8,79,27,258,0,6376,0,2974,0,3401,0,1,0,3758,0,367,0,1873,0,45,0,76,0,257,0,6344,0,2960,0,3383,0,1,0,3744,0,363,0,1860,0,45,0,76,0,256,0,6338,0,2957,0,3380,0,1,0,3741,0,363,0,1857,0,45,0,76,0,256,0,6308,0,2942,0,3365,0,1,0,3729,0,358,0,1848,0,45,0,75,0,253,2,6261,1,2913,1,3347,0,1,0,3708,0,351,2,1832,0,45,0,73,0,252,0,6243,0,2902,0,3340,0,1,0,3702,0,351,0,1824,0,45,0,72,0,249,4449,6032,1952,2792,2497,3239,0,1,2708,3604,208,328,1282,1758,33,43,42,64,176,235,2024,5673,848,2623,1176,3049,0,1,1172,3428,61,284,682,1643,12,38,20,59,77,221,2024,5673,848,2623,1176,3049,0,1,1172,3428,61,284,682,1643,12,38,20,59,77,221
223-DOBBINS MIDDLE SCHOOL,7703,100,803,731,583,1268,1515,1505,803,338,57,3617,4086,0,3683,1977,2043,0,1,3573,504,3185,54,110,277,3573,2727,503,458,12,14,24,45,5,17,22,2,3,1,3,1,1,0,1,1,10,2,1,0,0,0,278,3224,59,0,2,2,1,19,4397,4812116.0,0,7703,0,3617,0,4086,0,0,0,3573,0,504,0,3185,0,54,0,110,0,277,3875,7702,1743,3616,2132,4086,0,0,1913,3573,123,504,1663,3184,21,54,33,110,122,277,4365,7692,1951,3608,2414,4084,0,0,2188,3572,168,503,1795,3177,23,54,42,110,149,276,0,7692,0,3608,0,4084,0,0,0,3572,0,503,0,3177,0,54,0,110,0,276,495,7461,196,3475,299,3986,0,0,263,3506,8,470,205,3061,1,52,1,107,17,265,471,7461,189,3475,282,3986,0,0,257,3506,8,470,190,3061,1,52,1,107,14,265,1968,7427,879,3463,1089,3964,0,0,1048,3497,44,464,798,3044,8,52,15,107,55,263,1215,7427,538,3463,677,3964,0,0,633,3497,23,464,508,3044,6,52,7,107,38,263,0,7401,0,3452,0,3949,0,0,0,3486,0,462,0,3034,0,52,0,106,0,261,0,7367,0,3433,0,3934,0,0,0,3476,0,455,0,3020,0,52,0,105,0,259,0,7355,0,3426,0,3929,0,0,0,3472,0,454,0,3014,0,51,0,105,0,259,0,7333,0,3412,0,3921,0,0,0,3461,0,451,0,3008,0,50,0,104,0,259,6,7273,1,3385,5,3888,0,0,0,3441,0,439,6,2985,0,48,0,103,0,257,0,7260,0,3379,0,3881,0,0,0,3435,0,439,0,2979,0,48,0,103,0,256,5371,7031,2362,3266,3009,3765,0,0,2632,3349,266,413,2173,2875,35,46,66,98,199,250,2732,6657,1156,3076,1576,3581,0,0,1250,3194,84,378,1257,2715,19,46,33,90,89,234,2732,6657,1156,3076,1576,3581,0,0,1250,3194,84,378,1257,2715,19,46,33,90,89,234
223-EAST PAULDING MIDDLE SCH,12458,153,1113,1033,1046,2157,2306,2292,1484,676,194,5937,6521,0,3030,5152,4276,0,20,8623,743,1984,120,204,784,8623,1790,729,194,32,31,54,61,23,17,36,5,9,5,11,17,1,2,0,14,2,2,4,4,2,3,804,5369,73,3,3,3,3,32,6992,8849589.0,0,12458,0,5937,0,6521,0,0,0,8623,0,743,0,1984,0,120,0,204,0,784,6181,12458,2904,5937,3277,6521,0,0,4464,8623,255,743,955,1984,50,120,74,204,383,784,7189,12440,3385,5930,3804,6510,0,0,5228,8610,297,740,1043,1982,54,120,93,204,474,784,0,12440,0,5930,0,6510,0,0,0,8610,0,740,0,1982,0,120,0,204,0,784,148,12098,58,5759,90,6339,0,0,59,8420,5,708,77,1904,0,114,2,191,5,761,0,12098,0,5759,0,6339,0,0,0,8420,0,708,0,1904,0,114,0,191,0,761,3271,12049,1563,5731,1708,6318,0,0,2490,8392,103,703,409,1891,21,114,33,191,215,758,5,12049,1,5731,4,6318,0,0,4,8392,0,703,0,1891,0,114,1,191,0,758,0,11991,0,5698,0,6293,0,0,0,8362,0,701,0,1876,0,112,0,187,0,753,0,11944,0,5676,0,6268,0,0,0,8329,0,698,0,1867,0,112,0,186,0,752,0,11933,0,5667,0,6266,0,0,0,8322,0,697,0,1864,0,112,0,186,0,752,0,11910,0,5657,0,6253,0,0,0,8311,0,696,0,1859,0,110,0,186,0,748,3,11828,0,5613,3,6215,0,0,1,8266,0,688,2,1838,0,109,0,182,0,745,0,11806,0,5606,0,6200,0,0,0,8252,0,687,0,1835,0,109,0,179,0,744,8838,11437,4058,5429,4780,6008,0,0,6300,8038,461,655,1322,1751,68,100,122,169,565,724,4394,10841,1957,5131,2437,5710,0,0,3151,7671,185,618,710,1637,29,83,40,154,279,678,4394,10841,1957,5131,2437,5710,0,0,3151,7671,185,618,710,1637,29,83,40,154,279,678
223-EVENTS PLACE,4727,55,434,461,489,900,854,735,494,243,62,1951,2775,1,2746,948,1033,0,64,1654,315,2465,50,85,158,1654,2083,315,382,11,19,22,40,9,7,5,0,3,2,6,0,7,3,0,0,0,0,0,0,1,0,222,1590,38,1,3,0,0,16,3143,6134966.0,0,4727,0,1951,0,2775,0,1,0,1654,0,315,0,2465,0,50,0,85,0,158,2247,4727,822,1951,1425,2775,0,1,800,1654,99,315,1235,2465,14,50,22,85,77,158,2477,4713,926,1947,1551,2765,0,1,911,1649,111,313,1332,2458,17,50,26,85,80,158,0,4713,0,1947,0,2765,0,1,0,1649,0,313,0,2458,0,50,0,85,0,158,241,4538,83,1868,158,2670,0,0,92,1613,3,292,138,2354,1,47,1,75,6,157,180,4538,59,1868,121,2670,0,0,61,1613,2,292,108,2354,3,47,1,75,5,157,1085,4510,391,1859,694,2651,0,0,456,1609,29,287,547,2338,10,47,8,72,35,157,519,4510,171,1859,348,2651,0,0,186,1609,13,287,292,2338,5,47,3,72,20,157,0,4489,0,1850,0,2639,0,0,0,1603,0,284,0,2326,0,47,0,72,0,157,0,4465,0,1837,0,2628,0,0,0,1599,0,280,0,2314,0,47,0,69,0,156,0,4457,0,1833,0,2624,0,0,0,1598,0,280,0,2307,0,47,0,69,0,156,0,4442,0,1825,0,2617,0,0,0,1596,0,277,0,2299,0,46,0,69,0,155,0,4373,0,1788,0,2585,0,0,0,1578,0,270,0,2262,0,45,0,66,0,152,0,4356,0,1780,0,2576,0,0,0,1573,0,269,0,2251,0,45,0,66,0,152,3122,4192,1178,1704,1944,2488,0,0,1123,1522,173,254,1655,2164,28,41,45,65,98,146,1633,3896,588,1560,1045,2336,0,0,611,1444,53,225,900,2000,9,38,19,57,41,132,1633,3896,588,1560,1045,2336,0,0,611,1444,53,225,900,2000,9,38,19,57,41,132
223-LEGACY BAPT CHURCH,4401,43,381,456,415,772,718,757,493,297,69,1943,2457,1,1560,1387,1454,0,26,2531,246,1238,31,80,275,2531,1083,244,155,4,7,28,32,13,4,9,1,2,2,0,0,2,3,1,2,0,0,1,0,0,1,301,1612,25,2,1,1,2,13,2771,3134765.0,0,4401,0,1943,0,2457,0,1,0,2531,0,246,0,1238,0,31,0,80,0,275,1913,4401,784,1943,1129,2457,0,1,1156,2531,71,246,537,1238,7,31,26,80,116,275,2194,4397,903,1942,1291,2454,0,1,1337,2530,85,246,594,1236,10,31,28,79,140,275,0,4397,0,1942,0,2454,0,1,0,2530,0,246,0,1236,0,31,0,79,0,275,65,4241,19,1870,46,2370,0,1,17,2469,0,227,43,1181,0,28,0,74,5,262,0,4241,0,1870,0,2370,0,1,0,2469,0,227,0,1181,0,28,0,74,0,262,949,4209,397,1858,552,2350,0,1,662,2460,27,222,187,1168,1,27,11,71,61,261,8,4209,2,1858,6,2350,0,1,5,2460,0,222,3,1168,0,27,0,71,0,261,0,4191,0,1849,0,2341,0,1,0,2446,0,221,0,1166,0,27,0,70,0,261,0,4179,0,1846,0,2332,0,1,0,2439,0,220,0,1163,0,27,0,70,0,260,2,4173,1,1843,1,2329,0,1,0,2437,0,219,0,1161,0,27,0,69,2,260,0,4166,0,1840,0,2325,0,1,0,2433,0,218,0,1161,0,27,0,67,0,260,0,4127,0,1821,0,2305,0,1,0,2417,0,214,0,1152,0,27,0,63,0,254,0,4115,0,1815,0,2299,0,1,0,2411,0,214,0,1148,0,26,0,63,0,253,2842,3965,1178,1743,1664,2221,0,1,1708,2343,121,202,772,1091,14,24,39,59,188,246,1344,3749,538,1652,806,2096,0,1,865,2235,38,187,351,1015,1,24,14,56,75,232,1344,3749,538,1652,806,2096,0,1,865,2235,38,187,351,1015,1,24,14,56,75,232
223-MULBERRY ROCK PARK,6265,65,532,537,517,1129,1180,1129,705,384,87,3021,3244,0,1042,2875,2348,0,6,4852,241,684,45,58,385,4852,633,241,51,12,9,9,29,8,8,8,0,4,1,2,0,0,3,1,0,2,0,0,3,0,2,391,2815,24,3,1,2,0,7,3419,7257105.0,0,6265,0,3021,0,3244,0,0,0,4852,0,241,0,684,0,45,0,58,0,385,3197,6264,1485,3021,1712,3243,0,0,2559,4852,83,241,328,683,15,45,20,58,192,385,3618,6252,1701,3015,1917,3237,0,0,2903,4845,97,240,364,680,18,45,20,57,216,385,0,6252,0,3015,0,3237,0,0,0,4845,0,240,0,680,0,45,0,57,0,385,42,6108,14,2941,28,3167,0,0,22,4756,0,223,20,657,0,45,0,52,0,375,0,6108,0,2941,0,3167,0,0,0,4756,0,223,0,657,0,45,0,52,0,375,1728,6080,826,2929,902,3151,0,0,1450,4737,32,221,142,651,3,45,8,52,93,374,7,6080,4,2929,3,3151,0,0,5,4737,0,221,1,651,0,45,0,52,1,374,0,6051,0,2916,0,3135,0,0,0,4717,0,220,0,644,0,44,0,52,0,374,0,6027,0,2904,0,3123,0,0,0,4704,0,217,0,639,0,44,0,52,0,371,0,6022,0,2902,0,3120,0,0,0,4700,0,217,0,638,0,44,0,52,0,371,0,6001,0,2891,0,3110,0,0,0,4688,0,213,0,636,0,42,0,52,0,370,1,5922,0,2851,1,3071,0,0,0,4652,0,203,1,609,0,41,0,52,0,365,0,5906,0,2844,0,3062,0,0,0,4646,0,198,0,605,0,41,0,52,0,364,4400,5741,2038,2762,2362,2979,0,0,3512,4537,130,188,434,572,20,40,32,47,272,357,2149,5415,967,2594,1182,2821,0,0,1754,4308,37,169,226,534,8,32,8,42,116,330,2149,5415,967,2594,1182,2821,0,0,1754,4308,37,169,226,534,8,32,8,42,116,330
