Precinct,Council Member -- District  1-:-Craig A. Mathews (DEM),"Council Member -- District  1-:-Herbert ""H.B."" Bell (DEM)",Council Member -- District  3-:-Peter Soprano (IND),Council Member -- District  3-:-Rodney Olander (REP),Council Member -- District  3-:-Whitney Bourque (DEM),Council Member -- District  4-:-David W. Hill (REP),Council Member -- District  4-:-Javon Charles (NOPTY),Council Member -- District  4-:-Myron Bourque (NOPTY),"Council Member -- District  5-:-Charles ""Butchie"" McKinley (DEM)","Council Member -- District  5-:-Douglas Streety, Jr. (REP)","Council Member -- District  5-:-Leslie ""Les"" Rulf (REP)",Council Member -- District  6-:-Patrick J. Hebert (REP),Council Member -- District  6-:-Shawn Canty (REP),"Council Member -- District  7-:-James ""Hammer"" Bennett, Jr. (NOPTY)","Council Member -- District  7-:-James ""Jimmy"" Davis, Jr. (REP)","Council Member -- District  8-:-Carlo Gagliano, Jr. (NOPTY)",Council Member -- District  8-:-Eriq Blanchard (NOPTY),Council Member -- District  8-:-Mark A. Duhon (NOPTY),Council Member at Large -- District 10-:-Angelena Brocato (DEM),"Council Member at Large -- District 10-:-Gwendolyn ""Gwen"" Hidalgo (REP)",Council Member at Large -- District 10-:-Reginald D. Weary (DEM)
St. Mary-:-00 21,0,0,68,117,32,0,0,0,0,0,0,0,0,0,0,0,0,0,47,146,21
St. Mary-:-00 22,0,0,0,0,0,25,0,21,33,126,184,0,0,0,0,0,0,0,170,205,39
St. Mary-:-00 23,0,0,0,0,0,27,31,6,11,40,85,0,0,0,0,0,0,0,53,117,49
St. Mary-:-00 24,0,0,0,0,0,150,68,26,0,0,0,0,0,0,0,0,0,0,79,144,63
St. Mary-:-00 25,0,0,0,0,0,0,0,0,190,50,73,0,0,0,0,0,0,0,109,74,165
St. Mary-:-00 26,0,0,0,0,0,0,0,0,112,141,116,0,0,0,0,0,0,0,177,127,88
St. Mary-:-00 27,0,0,0,0,0,0,0,0,51,84,90,0,0,0,0,0,0,0,93,91,54
St. Mary-:-00 28,0,0,0,0,0,153,35,65,0,0,0,0,0,0,0,0,0,0,95,162,23
St. Mary-:-00 29,0,0,0,0,0,228,43,71,0,0,0,0,0,0,0,0,0,0,120,240,21
St. Mary-:-00 30,0,0,0,0,0,128,30,48,0,0,0,0,0,0,0,0,0,0,53,153,17
St. Mary-:-00 31,0,0,0,0,0,0,0,0,0,0,0,285,163,0,0,0,0,0,149,261,25
