Precinct,County Commissioner Post 2-:-Ida L. Gardner (Dem),County Commissioner Post 2-:-Sandy Kaecher (I) (Rep),County Commissioner Post 3-:-Taurus Morris (Dem),County Commissioner Post 3-:-Virginia Galloway (I) (Rep),County Commissioner Post 4-:-Brian Stover (I) (Rep),County Commissioner Post 4-:-Sheila Alexander (Dem)
223-BEULAHLAND BAPTIST CHURCH,252.0,1119.0,0.0,0.0,0.0,0.0
223-BURNT HICKORY PARK,0.0,0.0,0.0,0.0,3463.0,712.0
223-CROSSROADS LIBRARY,0.0,0.0,0.0,0.0,1884.0,657.0
223-D WRIGHT INNOVATION CTR,941.0,1079.0,508.0,1111.0,0.0,0.0
223-DOBBINS MIDDLE SCHOOL,0.0,0.0,2263.0,2175.0,0.0,0.0
223-EVENTS PLACE,0.0,0.0,1435.0,836.0,0.0,0.0
223-LEGACY BAPT CHURCH,0.0,0.0,4.0,18.0,0.0,0.0
223-MULBERRY ROCK PARK,672.0,3051.0,0.0,0.0,0.0,0.0
223-NEBO ELEM SCHOOL,498.0,1450.0,888.0,2426.0,0.0,0.0
223-PAULDING COUNTY AIRPORT,487.0,1774.0,0.0,0.0,60.0,2.0
223-PAULDING SR CENTER,0.0,0.0,0.0,0.0,2230.0,1333.0
223-POPLAR SPRGS BAPT CHURCH,0.0,0.0,1314.0,1115.0,0.0,0.0
223-RUSSOM ELEMENTARY,0.0,0.0,0.0,0.0,1900.0,714.0
223-SHELTON ELEMENTARY,0.0,0.0,0.0,0.0,2141.0,1244.0
223-TAYLOR FARM PARK,0.0,0.0,520.0,962.0,0.0,0.0
223-WATSON GOVT CMPLX,928.0,1161.0,0.0,0.0,1462.0,660.0
223-WHITE OAK PARK,445.0,944.0,0.0,0.0,0.0,0.0
