Precinct,C_TOT22,C_HSP22,C_NHS22,C_WHT22,C_BLA22,C_AMI22,C_ASI22,C_NHP22,C_2OM22,C_BLW22,C_AIW22,C_ASW22,C_AIB22,C_AIA22,C_ASN22,C_BLK22,CVAP_TOT22,CVAP_HSP22,CVAP_NHS22,CVAP_WHT22,CVAP_BLA22,CVAP_AMI22,CVAP_ASI22,CVAP_NHP22,CVAP_2OM22,CVAP_BLW22,CVAP_AIW22,CVAP_ASW22,CVAP_AIB22,CVAP_AIA22,CVAP_ASN22,CVAP_BLK22
Autauga-:-10 JONES COMM_ CTR_,519,0,518,277,232,0,0,0,0,0,0,0,0,0,0,233,491,0,491,274,219,0,0,0,0,0,0,0,0,0,0,218
Autauga-:-100 TRINITY METHODIST,4241,54,4191,3687,322,4,53,0,0,29,29,32,0,27,153,336,3621,39,3573,3148,320,4,38,0,0,10,17,0,0,19,93,331
Autauga-:-110 CENTRAL AL ELECTRIC,838,2,829,267,538,4,20,0,0,0,1,0,0,3,20,540,768,3,755,225,506,4,20,0,0,0,1,0,0,3,20,508
Autauga-:-140 AUTAUGAVILLE VFD,1780,34,1763,731,1094,6,0,0,0,0,6,0,0,15,0,1087,1325,22,1312,667,666,6,0,0,0,0,6,0,0,15,0,663
Autauga-:-150 PRATTMONT BAPTIST,2504,132,2373,1608,755,0,0,0,0,0,15,0,0,15,0,755,1784,32,1753,1303,435,0,0,0,0,0,15,0,0,15,0,435
Autauga-:-160 DOSTER COMM_ CTR_,12279,332,11945,8978,2393,20,135,0,24,210,119,28,10,151,163,2613,9423,223,9212,6811,2044,19,135,0,4,65,88,18,10,115,153,2119
Autauga-:-170 CAMELLIA BAPTIST,3457,25,3432,2410,875,0,0,0,140,10,0,0,0,0,0,884,2548,10,2539,1935,565,0,0,0,35,0,0,0,0,0,0,564
Autauga-:-180 OLD KINGSTON VFD,1710,6,1694,1344,326,0,0,0,0,0,11,0,0,10,0,322,1386,0,1380,1066,283,0,0,0,0,0,11,0,0,11,0,280
Autauga-:-20 HERITAGE BAPTIST,4505,150,4355,3570,624,0,84,0,0,10,40,0,30,70,84,664,3730,129,3595,3005,464,0,39,0,0,10,40,0,30,70,39,504
Autauga-:-220 UPPER KINGSTON,1598,250,1362,882,338,0,0,0,35,55,55,0,0,55,0,387,1455,177,1274,854,281,0,0,0,35,55,55,0,0,55,0,336
Autauga-:-230 COUNTY LINE BAPTIST,2297,0,2299,2118,180,0,0,0,0,0,0,0,0,0,0,180,1730,0,1731,1550,180,0,0,0,0,0,0,0,0,0,0,180
Autauga-:-240 GLYNWOOD BAPTIST,5804,370,5429,3838,953,0,262,0,35,131,50,193,0,56,387,1099,4279,290,3987,2802,870,0,217,0,0,0,22,120,0,24,282,869
Autauga-:-30 BILLINGSLEY COMM_ CTR_,1587,0,1589,1545,34,0,0,0,0,0,0,0,0,0,0,35,1207,0,1207,1172,27,0,0,0,0,0,0,0,0,0,0,26
Autauga-:-40 CENTRAL AL COMM_ COLLEGE,4219,17,4212,3323,831,0,45,0,0,0,0,15,0,0,60,831,2757,5,2754,2234,506,0,0,0,0,0,0,15,0,0,15,506
Autauga-:-50 WHITE CITY VFD,909,4,906,736,130,0,0,0,0,0,7,0,0,8,0,176,774,0,780,633,129,0,0,0,0,0,6,0,0,7,0,177
Autauga-:-60 MARBURY MIDDLE SCHOOL,2613,77,2526,1944,523,0,0,0,0,146,0,0,0,3,0,583,1747,2,1740,1479,213,0,0,0,0,65,0,0,0,0,0,264
Autauga-:-70 BOONE'S CHAPEL,4480,101,4357,3636,567,20,0,0,0,49,55,0,0,70,0,665,3324,26,3295,2785,348,21,0,0,0,130,40,0,0,63,0,446
Autauga-:-80 FRIENDSHIP BAPTIST,974,21,955,487,499,0,0,0,0,0,2,0,0,1,0,499,635,11,625,363,275,0,0,0,0,0,3,0,0,1,0,278
Autauga-:-90 BOOTH VFD,1686,12,1670,1254,340,0,0,0,0,0,0,0,0,0,0,345,1381,8,1372,1109,232,0,0,0,0,0,0,0,0,0,0,234
