Precinct,C_TOT22,C_HSP22,C_NHS22,C_WHT22,C_BLA22,C_AMI22,C_ASI22,C_NHP22,C_2OM22,C_BLW22,C_AIW22,C_ASW22,C_AIB22,C_AIA22,C_ASN22,C_BLK22,CVAP_TOT22,CVAP_HSP22,CVAP_NHS22,CVAP_WHT22,CVAP_BLA22,CVAP_AMI22,CVAP_ASI22,CVAP_NHP22,CVAP_2OM22,CVAP_BLW22,CVAP_AIW22,CVAP_ASW22,CVAP_AIB22,CVAP_AIA22,CVAP_ASN22,CVAP_BLK22
St. Mary-:-00 01,142,3,141,81,12,45,0,0,0,0,0,0,0,30,0,12,105,3,104,56,6,5,0,0,0,0,0,0,0,0,0,6
St. Mary-:-00 02,547,4,539,188,357,0,0,0,0,0,0,0,0,15,0,365,412,3,406,168,263,7,0,0,0,0,0,0,0,15,0,270
St. Mary-:-00 03,547,0,551,161,367,0,0,0,0,0,0,0,0,0,0,361,493,0,496,163,312,0,0,0,0,0,0,0,0,0,0,307
St. Mary-:-00 04,333,2,328,213,22,8,3,0,87,4,3,0,0,15,3,35,269,3,269,197,14,2,0,0,79,1,6,0,0,9,0,18
St. Mary-:-00 05,829,9,821,263,401,0,27,0,85,0,10,0,10,17,27,403,664,7,653,242,258,0,30,0,61,0,9,0,10,18,30,266
St. Mary-:-00 06,802,17,787,322,13,387,7,0,23,5,42,0,8,440,7,29,622,11,613,298,6,283,0,0,3,0,31,0,3,319,0,11
St. Mary-:-00 06A,662,56,592,561,9,7,3,0,5,6,10,0,2,15,3,13,532,23,511,488,7,2,10,0,1,3,4,0,1,5,10,8
St. Mary-:-00 07,1322,0,1316,255,1038,0,0,0,10,0,0,0,0,0,0,1040,1216,0,1211,238,955,0,0,0,10,0,0,0,0,0,0,955
St. Mary-:-00 08,679,2,681,22,697,0,0,0,0,0,0,0,0,0,0,693,546,3,546,14,575,3,0,0,0,0,0,0,0,0,0,573
St. Mary-:-00 09,852,9,836,531,229,4,2,7,27,0,3,0,0,10,2,239,625,4,620,478,120,4,4,8,10,0,0,0,0,8,4,122
St. Mary-:-00 10,1548,34,1541,588,946,0,27,0,1,0,0,0,0,0,30,943,1139,11,1142,468,674,0,18,0,0,0,0,0,0,0,20,675
St. Mary-:-00 11,780,1,791,341,449,2,5,7,3,0,4,0,13,12,2,445,573,1,571,293,242,1,2,6,0,0,0,0,17,9,0,245
St. Mary-:-00 12,296,0,298,58,224,3,0,0,0,0,11,0,12,30,0,240,238,0,241,35,195,3,0,0,0,0,10,0,8,27,0,211
St. Mary-:-00 13,670,4,650,373,250,14,0,0,0,0,0,0,0,17,0,251,624,4,604,339,246,15,0,0,0,0,0,0,0,18,0,249
St. Mary-:-00 14,1055,15,1040,828,175,0,10,0,51,0,8,0,4,18,10,182,807,15,786,625,148,1,0,0,6,0,6,0,4,18,0,156
St. Mary-:-00 15,835,4,832,315,517,0,0,0,0,0,0,0,0,0,0,515,703,4,698,285,411,0,0,0,0,0,0,0,0,0,0,411
St. Mary-:-00 16,1177,27,1148,341,609,10,0,0,0,35,15,0,0,33,0,643,843,32,821,276,416,10,0,0,15,0,20,0,0,25,0,417
St. Mary-:-00 17,1072,21,1050,516,557,8,0,1,0,0,21,0,0,21,0,566,786,28,757,473,354,13,0,1,6,0,0,0,0,11,0,354
St. Mary-:-00 18,831,7,824,55,616,17,0,0,97,75,0,0,0,14,0,690,539,0,530,33,467,12,0,0,17,0,0,0,0,15,0,466
St. Mary-:-00 19,1085,30,1064,1021,106,3,0,0,0,2,0,0,0,10,0,113,929,10,924,832,106,3,9,0,0,0,0,0,0,10,9,113
St. Mary-:-00 20,1073,7,1077,328,569,0,30,0,0,38,2,0,0,4,30,614,946,7,945,298,544,0,13,0,0,20,3,0,0,5,13,580
St. Mary-:-00 21,1023,19,983,839,127,3,0,0,0,15,8,0,20,16,0,147,824,12,807,681,96,2,8,0,0,20,9,0,20,15,8,109
