Precinct,C_TOT22,C_HSP22,C_NHS22,C_WHT22,C_BLA22,C_AMI22,C_ASI22,C_NHP22,C_2OM22,C_BLW22,C_AIW22,C_ASW22,C_AIB22,C_AIA22,C_ASN22,C_BLK22,CVAP_TOT22,CVAP_HSP22,CVAP_NHS22,CVAP_WHT22,CVAP_BLA22,CVAP_AMI22,CVAP_ASI22,CVAP_NHP22,CVAP_2OM22,CVAP_BLW22,CVAP_AIW22,CVAP_ASW22,CVAP_AIB22,CVAP_AIA22,CVAP_ASN22,CVAP_BLK22
St. Mary-:-00 22,1869,45,1823,1186,528,3,35,0,0,35,23,4,0,23,39,563,1431,30,1400,875,458,3,35,0,0,0,24,0,0,19,35,459
St. Mary-:-00 23,1012,7,1008,679,251,19,13,0,0,5,0,13,34,47,22,281,785,7,775,464,249,8,8,0,0,0,0,0,34,38,10,279
St. Mary-:-00 24,1708,13,1692,986,579,41,32,0,0,10,0,2,41,88,38,639,1245,13,1235,686,486,12,22,0,0,0,0,0,41,57,20,531
St. Mary-:-00 25,1145,7,1140,321,758,0,0,0,0,55,1,0,0,0,0,795,814,8,808,256,556,0,0,0,0,0,0,0,0,0,0,557
St. Mary-:-00 26,1099,29,1073,655,429,1,0,0,0,2,0,0,0,5,0,435,830,28,805,525,304,1,0,0,0,0,0,0,0,9,0,303
St. Mary-:-00 27,1530,24,1490,727,620,8,0,0,0,143,0,0,0,3,0,777,920,21,883,623,237,13,0,0,0,0,0,0,0,4,0,236
St. Mary-:-00 28,1114,37,1098,1032,15,16,0,0,2,0,18,0,0,39,0,15,883,31,874,813,16,23,0,0,0,0,18,0,0,43,0,15
St. Mary-:-00 29,1586,53,1514,1437,17,16,1,0,5,0,40,0,0,59,0,16,1167,37,1120,1041,17,4,1,0,4,0,27,0,0,52,0,17
St. Mary-:-00 30,1112,0,1122,982,18,0,3,0,57,0,67,0,0,64,4,19,780,0,785,697,17,0,3,0,0,0,75,0,0,61,4,18
St. Mary-:-00 31,1239,48,1197,958,224,0,0,0,0,0,4,0,0,4,0,224,948,31,924,788,125,0,0,0,0,0,4,0,0,4,0,128
St. Mary-:-00 32,1111,62,1043,857,196,0,0,0,0,0,0,0,0,0,0,196,772,34,731,642,95,0,0,0,0,0,0,0,0,0,0,92
St. Mary-:-00 33,1583,74,1512,1309,146,0,0,0,0,26,3,22,0,3,23,174,1116,76,1040,956,85,0,0,0,0,0,3,0,0,3,0,84
St. Mary-:-00 34,802,66,738,576,19,0,0,0,0,129,16,3,0,16,2,146,459,8,450,374,10,0,0,0,0,55,5,0,0,5,0,66
St. Mary-:-00 35,1471,210,1271,814,382,0,0,0,0,30,40,0,0,40,0,412,1092,40,1052,713,300,0,0,0,0,0,40,0,0,40,0,300
St. Mary-:-00 36,800,4,795,740,55,0,0,0,0,0,0,0,0,0,0,55,730,4,720,670,55,0,0,0,0,0,0,0,0,0,0,55
St. Mary-:-00 37,1937,47,1889,1515,282,0,45,0,0,36,0,0,0,11,46,364,1378,28,1353,1111,178,0,45,0,0,22,0,0,0,7,46,214
St. Mary-:-00 38,1309,121,1175,786,261,0,0,0,0,92,0,0,0,0,0,366,1061,111,931,705,161,0,0,0,0,68,0,6,0,0,0,211
St. Mary-:-00 39,1515,150,1385,1141,316,85,0,0,0,82,4,40,0,77,39,340,1212,133,1093,919,231,50,0,0,0,0,4,19,0,46,24,235
St. Mary-:-00 40,1059,164,936,655,210,10,33,0,10,21,0,0,0,13,34,241,804,64,766,548,176,13,22,0,1,3,0,0,0,17,22,179
St. Mary-:-00 41,1252,229,1006,711,139,17,52,0,20,56,0,0,0,14,51,188,801,78,723,541,109,14,43,0,3,0,0,0,0,9,43,109
St. Mary-:-00 42,897,104,786,325,181,12,0,0,0,4,0,0,0,10,0,186,651,57,598,243,172,12,0,0,0,4,0,0,0,10,0,176
St. Mary-:-00 43,739,69,620,441,130,5,0,0,0,2,0,0,0,8,0,129,684,13,626,425,122,5,0,0,0,1,0,0,0,9,0,125
St. Mary-:-00 44,276,0,282,2,379,0,0,0,0,0,0,0,0,0,0,377,257,0,263,0,381,0,0,0,0,0,0,0,0,0,0,379
St. Mary-:-00 45,1450,650,805,490,145,0,140,0,0,20,0,4,0,0,144,165,935,260,670,375,145,0,125,0,0,20,0,4,0,0,129,165
