Precinct,Councilman -- District 3-:-Byron L. Lee (DEM),Councilman -- District 3-:-Derrick Shepherd (DEM),"Councilman -- District 4-:-Albert ""Al"" Morella (IND)",Councilman -- District 4-:-Arita Bohannan (REP),Councilman -- District 4-:-Jack Rizzuto (REP),Councilman -- District 5-:-Hans Liljeberg (REP),Councilman -- District 5-:-Melinda Bourgeois (REP),"Councilman at Large -- Division A-:-J. ""Frankie"" Hyers (REP)",Councilman at Large -- Division A-:-Jennifer Van Vrancken (REP),Councilman at Large -- Division A-:-Ricky Templet (REP),Councilman at Large -- Division B-:-Dominick Impastato (REP),Councilman at Large -- Division B-:-Scott Walker (REP)
Jefferson-:-00 001,0,0,37,295,304,0,0,14,407,219,218,432
Jefferson-:-00 002,0,0,36,167,167,0,0,5,243,125,146,226
Jefferson-:-00 003,0,0,24,167,184,0,0,4,249,125,97,285
Jefferson-:-00 004,0,0,24,148,130,0,0,4,205,101,119,193
Jefferson-:-00 005,0,0,17,132,172,0,0,5,202,125,106,225
Jefferson-:-00 007,0,0,40,146,119,0,0,19,186,91,103,200
Jefferson-:-00 008,0,0,24,119,99,0,0,9,145,92,85,162
Jefferson-:-00 009,0,0,42,101,106,0,0,8,150,81,102,139
Jefferson-:-00 010,0,0,22,120,128,0,0,5,154,118,103,177
Jefferson-:-00 011,0,0,39,130,139,0,0,11,189,101,121,188
Jefferson-:-00 012,0,0,0,0,0,372,122,9,368,140,157,356
Jefferson-:-00 013,0,0,0,0,0,330,173,12,367,182,193,352
Jefferson-:-00 014,0,0,0,0,0,154,87,16,144,97,97,165
Jefferson-:-00 015,0,0,0,0,0,88,56,3,115,35,52,96
Jefferson-:-00 016,0,0,0,0,0,114,81,4,148,52,58,146
Jefferson-:-00 017,0,0,0,0,0,357,249,15,436,196,234,404
Jefferson-:-00 018,0,0,36,167,177,0,0,4,256,126,120,273
Jefferson-:-00 019,0,0,0,0,0,118,77,5,131,69,76,131
Jefferson-:-00 020,0,0,0,0,0,74,59,5,89,49,52,89
Jefferson-:-00 021,0,0,26,125,109,0,0,15,167,78,70,193
Jefferson-:-00 022,0,0,0,0,0,60,34,4,60,35,32,74
Jefferson-:-00 023,0,0,0,0,0,49,62,3,95,29,43,74
Jefferson-:-00 024,0,0,0,0,0,508,195,15,467,252,236,505
Jefferson-:-00 025,0,0,0,0,0,429,212,19,447,205,187,495
Jefferson-:-00 026,0,0,0,0,0,306,194,5,365,153,142,390
Jefferson-:-00 027,0,0,0,0,0,213,111,7,208,126,91,244
