Precinct,C_TOT22,C_HSP22,C_NHS22,C_WHT22,C_BLA22,C_AMI22,C_ASI22,C_NHP22,C_2OM22,C_BLW22,C_AIW22,C_ASW22,C_AIB22,C_AIA22,C_ASN22,C_BLK22,CVAP_TOT22,CVAP_HSP22,CVAP_NHS22,CVAP_WHT22,CVAP_BLA22,CVAP_AMI22,CVAP_ASI22,CVAP_NHP22,CVAP_2OM22,CVAP_BLW22,CVAP_AIW22,CVAP_ASW22,CVAP_AIB22,CVAP_AIA22,CVAP_ASN22,CVAP_BLK22
Jefferson-:-00 001,1691,128,1566,1404,29,0,120,0,0,0,0,15,0,0,127,28,1347,64,1291,1181,4,0,89,0,0,0,0,8,0,0,95,4
Jefferson-:-00 002,1238,89,1154,1071,1,0,73,0,0,0,20,0,0,20,82,1,1012,60,948,880,2,0,57,0,0,0,20,0,0,20,64,2
Jefferson-:-00 003,1220,25,1200,1096,7,0,58,0,0,0,0,39,0,0,98,6,896,21,883,837,6,0,27,0,0,0,0,22,0,0,52,6
Jefferson-:-00 004,990,42,952,817,6,0,68,0,0,0,4,72,0,5,123,6,740,37,701,619,7,0,37,0,0,0,4,53,0,5,69,7
Jefferson-:-00 005,992,58,928,802,9,0,59,0,0,0,1,54,0,1,106,10,770,47,716,645,9,0,33,0,0,0,1,0,0,1,52,9
Jefferson-:-00 007,1165,118,1053,913,20,0,112,0,0,14,7,0,0,11,114,35,960,83,871,765,17,0,100,0,0,0,0,0,0,9,92,24
Jefferson-:-00 008,885,82,792,652,10,0,73,0,0,6,17,30,0,13,101,15,725,67,664,545,8,0,50,0,0,10,24,20,0,15,78,11
Jefferson-:-00 009,2297,223,2069,1102,845,0,121,0,0,0,0,30,35,11,124,863,1756,135,1615,986,562,0,75,0,0,0,0,0,35,11,75,579
Jefferson-:-00 010,1014,96,935,939,0,0,18,0,0,15,0,0,0,0,19,10,869,80,800,806,0,0,10,0,0,15,0,0,0,0,9,10
Jefferson-:-00 011,1575,123,1511,1088,44,0,101,0,0,93,0,0,0,0,91,223,1292,107,1225,932,45,0,100,0,0,17,0,0,0,0,90,58
Jefferson-:-00 012,1409,146,1285,1066,46,0,18,0,0,0,0,14,0,0,33,49,1188,89,1127,921,26,0,18,0,0,0,0,0,0,0,18,28
Jefferson-:-00 013,1472,260,1209,925,48,0,122,0,0,0,15,76,0,14,220,48,1145,188,948,798,48,0,90,0,0,0,15,0,0,14,89,48
Jefferson-:-00 014,621,40,603,439,54,0,0,0,0,45,0,0,0,0,0,85,558,24,556,413,61,0,0,0,0,39,0,0,0,0,0,89
Jefferson-:-00 015,952,219,691,516,347,0,0,0,0,45,0,0,0,0,0,402,797,123,622,472,301,0,0,0,0,51,0,0,0,0,0,360
Jefferson-:-00 016,789,145,642,649,2,0,0,0,0,0,0,0,0,0,0,3,541,61,482,495,1,0,0,0,0,0,0,0,0,0,0,2
Jefferson-:-00 017,1711,97,1650,1381,94,5,123,0,8,39,43,2,0,56,138,106,1483,92,1408,1231,57,5,110,0,7,1,47,0,0,60,124,58
Jefferson-:-00 018,1371,228,1039,899,45,0,95,0,2,78,24,1,0,13,95,63,1085,112,908,828,31,0,92,0,3,1,19,0,0,9,92,30
Jefferson-:-00 019,590,70,518,452,21,0,30,0,0,0,5,1,0,10,32,19,495,41,460,395,11,0,33,0,0,0,2,0,0,6,33,12
Jefferson-:-00 020,368,21,357,326,6,5,30,0,0,0,3,0,0,6,27,7,298,18,284,255,6,5,30,0,0,0,1,0,0,4,27,6
Jefferson-:-00 021,1065,322,739,669,0,0,17,0,35,0,4,10,0,4,28,0,822,240,581,518,0,0,4,0,35,0,4,10,0,4,14,1
Jefferson-:-00 022,1344,274,1104,828,254,0,36,0,0,0,0,0,0,0,41,256,922,103,870,659,190,0,43,0,0,0,0,0,0,0,44,186
Jefferson-:-00 023,2539,576,1898,879,959,0,21,0,0,45,3,0,0,3,20,999,1865,268,1533,743,732,0,25,0,0,20,3,0,0,3,22,750
Jefferson-:-00 024,1490,65,1425,1295,0,0,120,0,0,0,0,10,0,0,130,0,1390,65,1320,1195,0,0,120,0,0,0,0,10,0,0,130,0
Jefferson-:-00 025,1927,64,1846,1611,24,0,240,0,0,0,6,0,0,8,239,24,1697,63,1623,1384,27,0,242,0,0,0,4,0,0,6,240,27
Jefferson-:-00 026,2637,87,2564,2203,224,0,105,0,0,0,11,0,0,9,106,224,1859,86,1783,1504,146,0,103,0,0,0,13,0,0,10,105,146
Jefferson-:-00 027,2944,459,2475,1270,960,10,46,0,40,79,13,40,0,22,85,1037,2179,250,1921,1031,724,10,46,0,40,35,13,15,0,22,59,753
Jefferson-:-00 028,847,26,847,540,250,0,31,0,0,16,0,5,0,1,37,271,649,18,649,442,168,0,21,0,0,0,0,16,0,2,28,178
Jefferson-:-00 029,763,213,546,393,32,0,81,0,0,0,1,0,0,1,82,34,529,86,436,337,20,0,63,0,0,0,1,0,0,1,65,22
Jefferson-:-00 030,1803,84,1744,1560,66,0,117,0,0,0,0,10,0,0,127,64,1345,86,1276,1133,51,0,94,0,0,0,0,0,0,0,104,50
Jefferson-:-00 031,1400,66,1271,920,182,0,157,0,0,0,5,10,0,6,172,184,1115,62,1014,777,98,0,130,0,0,0,5,16,0,5,156,95
Jefferson-:-00 032,1130,12,1136,1036,20,0,79,0,0,0,10,0,0,9,75,17,973,3,983,890,10,0,74,0,0,0,10,0,0,10,71,10
Jefferson-:-00 033,1063,69,986,738,216,0,0,0,26,0,0,0,0,0,0,217,886,70,811,636,133,0,0,0,38,0,0,0,0,0,0,132
Jefferson-:-00 034,1127,6,1127,1075,7,0,0,0,0,10,0,15,0,0,14,17,803,6,801,779,4,0,0,0,0,0,0,8,0,0,2,4
Jefferson-:-00 035,816,23,811,790,1,0,20,0,0,0,0,0,0,0,20,2,601,14,593,577,2,0,17,0,0,0,0,0,0,0,19,2
Jefferson-:-00 036,626,38,579,569,1,0,14,0,0,0,0,0,0,0,16,0,459,21,429,413,1,0,18,0,0,0,0,0,0,0,18,1
Jefferson-:-00 037,952,96,844,803,2,0,30,2,0,0,0,0,0,1,29,2,697,44,649,617,1,0,24,2,0,0,1,0,0,1,22,1
Jefferson-:-00 038,1058,45,1024,939,5,0,11,0,69,0,35,0,0,35,13,4,888,45,850,778,4,0,9,0,57,0,20,0,0,21,12,5
Jefferson-:-00 039,789,55,731,734,0,0,2,0,0,0,0,0,0,0,2,0,611,54,561,562,0,0,2,0,0,0,0,0,0,0,2,0
Jefferson-:-00 040,806,100,707,659,0,0,36,1,0,0,2,0,0,2,43,0,590,36,556,536,0,0,10,1,0,0,2,0,0,2,14,0
Jefferson-:-00 041,911,110,797,746,6,0,54,1,0,15,5,0,0,5,46,9,758,78,679,656,2,0,22,1,0,0,4,0,0,4,18,4
Jefferson-:-00 042,1246,135,1111,951,84,0,19,0,0,0,8,0,0,8,19,99,1023,113,911,813,37,0,18,0,0,0,8,0,0,8,18,35
Jefferson-:-00 043,933,64,867,816,3,0,34,0,0,0,4,0,0,4,32,3,809,55,751,702,3,0,36,0,0,0,4,0,0,3,33,3
Jefferson-:-00 044,1451,190,1264,1186,4,0,6,0,0,0,0,70,0,0,76,4,1169,86,1084,1078,4,0,6,0,0,0,0,0,0,0,6,4
