Precinct,C_TOT22,C_HSP22,C_NHS22,C_WHT22,C_BLA22,C_AMI22,C_ASI22,C_NHP22,C_2OM22,C_BLW22,C_AIW22,C_ASW22,C_AIB22,C_AIA22,C_ASN22,C_BLK22,CVAP_TOT22,CVAP_HSP22,CVAP_NHS22,CVAP_WHT22,CVAP_BLA22,CVAP_AMI22,CVAP_ASI22,CVAP_NHP22,CVAP_2OM22,CVAP_BLW22,CVAP_AIW22,CVAP_ASW22,CVAP_AIB22,CVAP_AIA22,CVAP_ASN22,CVAP_BLK22
Jefferson-:-00 045,1548,57,1492,1428,36,0,4,0,0,5,2,30,0,2,34,38,1340,49,1291,1232,34,0,4,0,0,0,3,30,0,3,34,34
Jefferson-:-00 046,870,236,629,484,44,0,43,0,45,0,2,20,0,1,63,44,597,55,542,451,42,0,42,0,0,0,1,20,0,1,62,42
Jefferson-:-00 051,2160,261,1906,1806,47,0,0,0,0,0,50,0,0,50,0,47,1876,196,1682,1609,41,0,0,0,0,0,30,0,0,30,0,42
Jefferson-:-00 052,2054,211,1855,1724,32,0,31,0,12,37,14,0,0,14,32,70,1693,201,1493,1400,25,0,24,0,11,14,14,0,0,14,26,44
Jefferson-:-00 053,1145,139,1007,917,28,0,40,0,3,36,1,0,0,1,36,58,878,126,749,694,27,0,26,0,4,18,1,0,0,1,23,42
Jefferson-:-00 054,1454,111,1323,1264,18,0,1,0,11,9,4,0,0,5,1,40,1114,83,1019,964,16,0,1,1,0,12,4,0,0,6,1,31
Jefferson-:-00 055,968,88,883,775,100,0,0,0,0,0,11,0,0,8,0,100,932,88,845,740,99,0,0,0,0,0,11,0,0,9,0,98
Jefferson-:-00 056,1939,164,1797,1528,148,0,104,0,0,0,3,0,0,5,105,159,1787,158,1648,1428,155,0,41,0,0,0,3,0,0,4,41,161
Jefferson-:-00 057,1177,149,1009,806,118,4,71,0,0,0,15,0,0,19,70,109,1004,72,911,731,109,4,64,0,0,0,15,0,0,19,64,104
Jefferson-:-00 058,2203,498,1598,1133,371,0,35,0,0,0,0,10,0,24,70,395,1726,237,1408,1005,329,0,35,0,0,0,0,0,0,24,35,356
Jefferson-:-00 059,1758,129,1721,1485,108,0,110,0,0,0,10,0,0,10,110,108,1550,104,1518,1399,66,0,50,0,0,0,10,0,0,10,50,65
Jefferson-:-00 060,2535,136,2407,2397,5,0,0,0,0,0,0,4,0,0,4,4,1782,84,1706,1696,5,0,0,0,0,0,0,4,0,0,4,5
Jefferson-:-00 061,945,186,751,656,4,17,39,3,6,43,0,0,0,21,41,31,663,74,592,521,5,17,46,3,0,0,0,0,0,23,47,5
Jefferson-:-00 062,890,47,858,800,3,12,1,5,17,22,0,0,0,11,2,23,720,34,696,683,2,12,2,4,0,0,0,0,0,8,2,2
Jefferson-:-00 063,915,70,840,750,19,0,76,0,0,0,6,0,0,5,78,15,784,52,725,676,0,0,63,0,0,0,6,0,0,6,65,0
Jefferson-:-00 064,720,54,674,588,31,0,24,0,0,15,4,0,0,5,22,50,614,34,590,542,0,0,22,0,0,0,4,0,0,4,20,0
Jefferson-:-00 065,1282,134,1148,979,23,6,52,2,26,25,15,10,0,17,61,66,1035,95,937,862,23,6,25,2,0,10,4,10,0,6,35,33
Jefferson-:-00 066,1033,56,974,892,23,0,15,0,0,45,0,0,0,0,15,69,869,56,812,751,23,0,15,0,0,25,0,0,0,0,15,48
Jefferson-:-00 067,573,68,510,404,25,0,0,0,0,2,0,94,0,1,51,30,474,34,447,359,20,0,0,0,0,0,0,36,0,0,13,24
Jefferson-:-00 068,1921,240,1656,1239,270,6,10,0,0,18,10,46,0,12,105,285,1618,154,1441,1093,275,5,13,0,0,20,10,24,0,13,63,291
Jefferson-:-00 069,671,37,654,647,0,4,40,0,0,0,0,0,0,7,34,0,658,37,637,623,0,5,37,0,0,0,0,0,0,7,34,0
Jefferson-:-00 070,1115,59,1075,827,208,0,52,0,0,0,0,0,0,0,47,209,1026,63,979,760,205,0,9,0,0,0,0,0,0,0,9,209
Jefferson-:-00 071,2195,192,1984,1634,277,0,33,0,0,27,0,0,0,0,36,304,1680,135,1531,1314,171,0,22,0,0,24,0,0,0,0,22,189
Jefferson-:-00 072,950,15,935,775,125,4,35,0,0,0,0,0,0,4,35,125,745,15,730,660,35,4,35,0,0,0,0,0,0,4,35,35
Jefferson-:-00 073,3216,325,2959,2203,675,0,44,0,0,18,0,0,0,0,43,703,2445,201,2332,1732,540,0,40,0,0,6,0,0,0,0,42,555
Jefferson-:-00 074,2776,474,2251,1216,943,0,23,0,48,155,0,0,0,0,21,952,1894,102,1712,998,614,0,23,0,40,39,0,0,0,0,21,611
Jefferson-:-00 075,947,158,787,692,74,0,0,0,0,0,32,0,0,31,0,72,853,101,758,645,85,0,0,0,0,0,35,0,0,33,0,85
Jefferson-:-00 076,3366,323,3001,1353,1245,0,0,0,300,0,15,0,0,14,0,1378,2447,198,2244,1162,670,0,0,0,243,101,15,0,0,14,0,809
Jefferson-:-00 077,1623,121,1530,1281,165,0,0,0,57,7,5,0,0,6,0,175,1248,120,1134,1101,65,0,0,0,27,4,5,0,0,6,0,69
Jefferson-:-00 078,3161,128,3040,1371,1355,0,125,0,100,0,0,90,10,10,215,1366,2401,110,2304,1161,1015,0,95,0,0,0,0,30,10,10,125,1025
Jefferson-:-00 079,712,32,688,684,0,0,0,0,0,3,0,0,0,0,0,2,604,32,584,584,0,0,0,0,0,0,0,0,0,0,0,1
Jefferson-:-00 080,931,196,738,650,55,0,0,0,0,0,3,0,0,7,0,58,757,108,647,588,34,0,0,0,0,0,0,0,0,4,0,34
Jefferson-:-00 081,714,94,625,589,62,4,0,0,0,0,0,0,0,1,0,59,570,57,518,492,47,4,0,0,0,0,0,0,0,2,0,46
Jefferson-:-00 082,2163,329,1824,1123,672,0,54,0,0,0,0,0,0,0,52,671,1749,303,1425,896,499,0,57,0,0,0,0,0,0,0,53,498
Jefferson-:-00 083,566,43,520,478,51,0,0,0,0,0,0,0,0,0,0,54,452,21,432,393,45,0,0,0,0,0,0,0,0,0,0,46
Jefferson-:-00 084,959,115,836,701,82,0,11,0,0,0,3,0,0,3,13,82,783,109,682,597,48,0,8,0,0,0,3,0,0,3,12,49
Jefferson-:-00 085,1856,163,1674,1366,66,0,175,0,0,0,0,0,0,0,175,66,1507,98,1403,1199,53,0,76,0,0,12,0,0,0,0,76,58
Jefferson-:-00 086,836,45,773,736,13,0,0,0,0,0,3,0,0,3,0,13,759,42,697,657,15,0,0,0,0,0,3,0,0,3,0,16
Jefferson-:-00 087,995,35,976,954,0,0,19,0,0,35,4,11,0,3,34,16,856,21,845,827,0,0,9,0,0,9,5,11,0,4,21,7
Jefferson-:-00 088,801,73,741,687,1,11,3,0,0,0,1,0,0,12,20,1,624,56,578,534,2,11,0,0,0,0,1,0,0,12,11,1
Jefferson-:-00 089,1291,163,1153,1135,4,0,48,0,0,0,0,4,0,1,48,23,1012,81,940,959,2,0,18,0,0,14,0,4,0,1,21,25
Jefferson-:-00 090,875,19,856,862,4,0,2,0,0,0,0,4,0,0,6,4,791,14,775,780,4,0,1,0,0,0,0,4,0,0,5,4
Jefferson-:-00 091,993,84,909,893,15,4,0,0,0,0,1,0,0,4,0,15,875,88,787,772,15,0,0,0,0,0,0,0,0,0,0,15
Jefferson-:-00 092,723,16,715,714,0,0,0,0,0,0,0,0,0,1,0,2,548,12,539,542,0,0,0,0,0,0,0,0,0,0,0,3
Jefferson-:-00 093,825,60,752,656,0,9,92,0,0,0,27,0,0,36,75,0,652,40,600,526,0,9,65,0,0,0,0,0,0,9,54,0
Jefferson-:-00 094,1104,71,1048,1025,0,0,0,0,0,0,18,0,0,18,0,0,867,68,815,789,0,0,0,0,0,0,45,0,0,45,0,0
Jefferson-:-00 095,1098,67,1030,836,191,0,0,0,0,0,0,0,0,0,0,192,724,38,687,597,95,0,0,0,0,0,0,0,0,0,0,95
Jefferson-:-00 096,474,13,461,399,14,0,2,0,0,0,0,0,0,0,1,39,370,13,354,298,0,0,3,0,0,0,0,0,0,0,2,15
Jefferson-:-00 097,779,0,772,765,10,0,0,0,0,0,0,0,0,0,0,8,623,0,620,610,10,0,0,0,0,0,0,0,0,0,0,7
Jefferson-:-00 098,1291,85,1215,1216,0,0,0,0,0,0,7,0,0,3,0,0,1175,52,1129,1133,0,0,0,0,0,0,7,0,0,4,0,0
Jefferson-:-00 099,619,30,580,539,0,4,0,0,0,0,23,0,0,31,0,0,550,23,521,482,0,4,0,0,0,0,23,0,0,30,0,0
Jefferson-:-00 100,403,50,348,347,0,0,0,0,0,0,0,0,0,0,0,0,358,52,298,297,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson-:-00 101,342,7,336,291,0,0,1,0,0,0,0,0,0,0,1,85,297,7,291,241,0,0,0,0,0,0,0,0,0,0,0,87
Jefferson-:-00 102,625,200,425,425,0,0,0,0,0,0,0,0,0,0,0,0,495,130,360,360,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson-:-00 103,866,23,843,714,0,0,12,0,4,205,0,0,0,0,13,94,744,22,723,599,0,0,12,0,4,205,0,0,0,0,13,103
Jefferson-:-00 104,1220,45,1174,17,1121,30,15,0,0,0,0,0,0,30,15,1120,956,15,941,16,888,30,15,0,0,0,0,0,0,30,15,884
Jefferson-:-00 105,433,26,408,356,7,0,0,0,7,0,0,7,0,0,2,11,339,11,337,320,5,0,0,0,6,0,0,0,0,0,1,8
Jefferson-:-00 106,690,70,620,455,141,0,0,0,5,0,0,3,0,0,7,141,522,28,490,397,81,0,0,0,5,0,0,10,0,0,7,78
Jefferson-:-00 108,578,0,585,4,582,0,0,0,0,0,0,0,0,0,0,583,453,0,456,5,450,0,0,0,0,0,0,0,0,0,0,454
Jefferson-:-00 115,623,43,577,91,447,0,8,0,0,0,0,0,0,0,21,449,545,34,513,80,402,0,7,0,0,0,0,0,0,0,15,402
Jefferson-:-00 116,1089,106,947,642,301,0,50,0,0,0,0,0,0,0,36,300,1021,98,907,597,298,0,51,0,0,0,0,0,0,0,42,298
Jefferson-:-00 117,1493,71,1461,1362,77,0,7,0,0,0,0,0,0,0,8,76,1329,68,1285,1218,45,0,7,0,0,0,0,0,0,0,8,45
Jefferson-:-00 118,1089,33,1061,1007,2,4,40,0,0,30,0,0,0,4,40,25,909,23,890,863,2,4,25,0,0,10,0,0,0,4,25,11
Jefferson-:-00 119,738,47,694,657,39,0,0,0,0,0,19,0,0,19,0,36,566,45,519,487,42,0,0,0,0,0,9,0,0,9,0,39
Jefferson-:-00 120,559,31,531,498,6,0,0,0,0,0,0,0,0,0,0,16,399,22,378,354,3,0,0,0,0,0,0,0,0,0,0,7
Jefferson-:-00 121,1265,124,1142,1095,0,0,10,0,4,0,30,0,0,30,10,0,1002,109,899,872,0,0,10,0,0,0,10,0,0,10,10,0
Jefferson-:-00 122,1366,69,1295,1196,42,0,0,0,0,0,50,6,0,51,5,10,1027,62,961,925,16,0,0,0,0,0,15,1,0,16,2,10
Jefferson-:-00 123,2153,65,2094,1901,162,4,0,0,0,0,4,23,0,7,25,200,1810,42,1773,1697,58,4,0,0,0,0,4,8,0,7,8,65
Jefferson-:-00 124,2614,290,2325,2201,53,0,0,0,0,0,30,20,0,30,20,53,1946,225,1713,1642,53,0,0,0,0,0,4,0,0,4,0,53
Jefferson-:-00 125A,2579,141,2438,885,1252,20,190,0,0,75,15,0,0,35,190,1327,1921,140,1781,846,705,20,190,0,0,0,15,0,0,35,190,705
Jefferson-:-00 125B,2719,292,2433,1603,650,0,73,0,0,0,3,85,0,3,160,648,2443,239,2195,1467,553,0,71,0,0,0,3,85,0,2,157,551
Jefferson-:-00 126,1535,140,1395,1165,220,0,0,0,15,0,0,0,0,0,0,220,1275,110,1165,1000,150,0,0,0,15,0,0,0,0,0,0,150
Jefferson-:-00 127,1321,81,1240,844,377,0,10,0,0,0,0,0,0,0,10,378,979,62,913,618,279,0,10,0,0,0,0,0,0,0,10,279
Jefferson-:-00 128,1344,47,1295,1093,220,0,0,0,0,0,0,0,0,0,0,219,1142,46,1097,888,215,0,0,0,0,0,0,0,0,0,0,214
Jefferson-:-00 129,970,67,896,799,81,0,39,0,0,0,8,0,0,9,33,77,806,37,763,713,36,0,15,0,0,0,9,0,0,8,15,34
Jefferson-:-00 130,726,57,674,574,71,0,21,0,0,0,9,0,0,8,21,74,556,28,537,494,27,0,13,0,0,0,9,0,0,10,13,27
Jefferson-:-00 131,582,47,533,121,452,0,0,0,3,0,0,0,0,0,1,448,457,30,421,87,335,0,0,0,4,0,0,0,0,0,2,338
Jefferson-:-00 132,684,111,570,462,58,0,15,0,0,0,3,0,0,3,21,59,573,75,495,418,57,0,1,0,0,0,2,0,0,2,1,59
Jefferson-:-00 133,550,33,515,116,397,0,0,0,0,0,0,0,0,0,0,397,466,33,433,80,351,0,0,0,0,0,0,0,0,0,0,349
Jefferson-:-00 134,1535,95,1445,1035,350,0,25,0,0,30,4,0,0,4,25,380,1305,95,1215,895,300,0,15,0,0,0,4,0,0,4,15,300
Jefferson-:-00 136,1009,61,986,698,258,0,10,0,0,0,20,5,0,20,14,258,864,36,860,661,172,0,6,0,0,0,20,5,0,20,10,172
Jefferson-:-00 138,376,59,284,122,142,0,14,0,0,0,0,5,0,0,20,142,336,59,250,114,123,0,8,0,0,0,0,5,0,0,14,123
Jefferson-:-00 150,3335,335,3005,1050,1875,30,0,0,0,50,0,0,0,30,0,1925,2445,335,2110,935,1100,30,0,0,0,50,0,0,0,30,0,1150
Jefferson-:-00 151,3335,261,3082,1204,1593,0,49,0,0,200,0,40,0,0,70,1793,2328,205,2128,1017,993,0,28,0,0,80,0,0,0,0,38,1071
Jefferson-:-00 152,905,175,730,365,365,0,0,0,0,0,0,0,0,0,0,365,660,70,590,315,270,0,0,0,0,0,0,0,0,0,0,270
Jefferson-:-00 153,2396,0,2400,3,2393,0,0,0,0,0,0,0,0,0,0,2395,1802,0,1809,4,1799,0,0,0,0,0,0,0,0,0,0,1803
Jefferson-:-00 154,1939,0,1935,27,1912,0,0,0,0,0,0,0,0,0,0,1910,1633,0,1626,26,1606,0,0,0,0,0,0,0,0,0,0,1602
Jefferson-:-00 155,1456,85,1371,1185,178,0,0,0,0,0,0,0,13,8,0,183,1207,45,1161,1005,148,0,0,0,0,0,0,0,13,7,0,151
Jefferson-:-00 156,2998,449,2451,285,2175,50,0,0,0,0,10,0,5,66,0,2182,2014,179,1741,242,1449,50,0,0,0,0,10,0,7,70,0,1464
Jefferson-:-00 157A,3305,329,2967,1181,1244,0,396,0,0,0,15,100,37,52,515,1280,2335,185,2147,918,741,0,367,0,0,0,15,115,0,15,472,743
Jefferson-:-00 157B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson-:-00 170,1885,305,1575,1150,390,4,0,0,0,15,10,0,0,14,0,405,1530,255,1275,980,265,4,0,0,0,15,10,0,0,14,0,280
Jefferson-:-00 171,333,47,288,115,98,0,14,0,0,18,4,0,0,1,13,116,266,41,232,111,59,0,17,0,0,0,4,0,0,1,15,68
Jefferson-:-00 172,1900,155,1745,955,605,0,0,0,20,130,0,0,35,35,0,770,1465,85,1375,850,470,0,0,0,20,40,0,0,0,0,0,510
Jefferson-:-00 173,757,30,721,103,624,0,0,0,0,0,0,0,0,0,0,633,562,27,533,100,433,0,0,0,0,0,0,0,0,0,0,443
Jefferson-:-00 174,662,57,605,308,240,0,36,0,0,0,0,0,0,1,37,241,469,47,425,283,118,0,33,0,0,0,0,0,0,1,35,119
Jefferson-:-00 175,1147,75,1071,956,45,4,0,4,0,0,10,55,0,14,55,45,989,35,948,853,40,4,0,4,0,0,4,45,0,8,45,40
Jefferson-:-00 176,740,45,695,655,10,0,0,0,4,10,4,4,0,4,4,20,650,15,640,615,10,0,0,0,0,4,0,4,0,0,4,14
Jefferson-:-00 177,1065,34,1025,885,92,0,11,0,0,0,0,10,0,0,20,94,909,33,860,734,88,0,8,0,0,0,0,10,0,0,15,84
Jefferson-:-00 178,793,20,775,648,120,0,4,0,0,0,0,0,0,0,5,118,725,21,713,581,124,0,7,0,0,0,0,0,0,0,10,128
Jefferson-:-00 179A,3219,0,3194,1185,1154,0,938,0,0,0,65,0,0,43,929,1157,2502,0,2476,988,788,0,789,0,0,0,65,0,0,49,789,788
Jefferson-:-00 179B,996,0,1021,55,741,0,87,0,0,0,0,0,0,22,96,738,883,0,909,47,622,0,86,0,0,0,0,0,0,16,86,622
Jefferson-:-00 180,1085,0,1085,10,1030,0,0,0,4,10,0,0,25,25,0,1065,1000,0,1000,10,950,0,0,0,0,10,0,0,25,25,0,985
Jefferson-:-00 181,1912,9,1909,201,1584,0,0,0,95,12,0,0,55,57,0,1654,1528,9,1528,141,1332,0,0,0,20,30,0,0,55,57,0,1400
Jefferson-:-00 182,1159,36,1121,562,494,15,40,0,0,20,4,4,0,19,44,501,946,35,909,532,303,15,25,0,0,0,0,4,0,15,29,300
Jefferson-:-00 183,1117,133,983,739,198,0,11,0,6,10,1,4,2,5,17,215,982,99,881,685,164,0,4,0,6,9,0,1,2,5,5,188
Jefferson-:-00 184,2781,182,2584,1767,599,0,132,0,11,57,7,20,2,7,148,657,2225,145,2068,1520,376,0,106,0,15,45,8,3,2,7,111,417
Jefferson-:-00 185A,804,11,806,729,15,0,77,0,8,7,0,16,0,0,95,21,642,11,645,592,14,0,56,0,4,15,0,0,0,0,54,24
Jefferson-:-00 185B,1120,20,1107,307,545,0,250,0,0,0,0,0,0,0,250,542,747,11,743,228,328,0,189,0,0,0,0,0,0,0,189,326
Jefferson-:-00 187,2950,0,2950,35,2815,0,0,0,0,100,0,0,0,0,0,2915,2105,0,2105,35,2070,0,0,0,0,0,0,0,0,0,0,2070
Jefferson-:-00 188,1223,212,1033,109,909,2,4,0,0,3,0,0,0,5,4,917,895,155,761,97,655,0,3,0,0,0,0,0,0,4,3,663
Jefferson-:-00 189,2728,327,2396,1480,726,15,63,35,0,45,20,136,0,35,130,770,2214,149,2062,1363,586,0,58,35,0,15,20,4,0,20,72,599
Jefferson-:-00 190,2432,128,2309,1445,249,0,311,0,0,0,0,183,0,0,563,250,1801,101,1703,1217,229,0,241,0,0,0,0,0,0,0,231,231
Jefferson-:-00 191,3075,530,2547,1056,1316,8,54,0,0,42,14,60,0,13,114,1361,2394,370,2023,825,1117,10,56,0,0,0,7,0,0,10,56,1119
Jefferson-:-00 192,2856,176,2680,1843,664,0,15,0,14,29,120,18,0,94,32,691,2020,113,1900,1300,523,0,15,0,9,30,52,0,0,43,16,552
Jefferson-:-00 193A,1013,112,906,399,425,0,5,0,5,0,58,0,0,84,5,423,878,90,782,328,428,0,5,0,0,0,4,0,0,17,4,430
Jefferson-:-00 193B,2627,208,2425,1021,1308,20,0,0,0,45,20,27,0,38,31,1346,2104,182,1933,868,1008,15,0,0,0,0,15,25,0,27,29,1009
Jefferson-:-00 194A,1390,250,1140,780,360,0,0,0,0,0,0,0,0,0,0,360,930,150,785,495,290,0,0,0,0,0,0,0,0,0,0,290
Jefferson-:-00 194B,2020,134,1882,1447,320,15,55,0,0,45,0,0,0,23,55,365,1547,94,1454,1094,275,14,55,0,0,15,0,0,0,23,55,290
Jefferson-:-00 195,2207,31,2162,251,1657,0,258,0,0,0,4,0,0,2,259,1664,1733,24,1703,248,1260,0,202,0,0,0,4,0,0,2,201,1265
Jefferson-:-00 196,3725,147,3576,308,3137,0,64,0,25,6,0,0,0,7,64,3138,2654,101,2540,285,2153,0,43,0,25,6,0,0,0,5,44,2157
Jefferson-:-00 197A,274,2,278,8,279,0,0,0,0,0,0,0,0,0,0,277,211,2,212,9,207,0,0,0,0,0,0,0,0,0,0,207
Jefferson-:-00 197B,2906,71,2838,213,2606,0,0,0,0,4,4,0,15,19,0,2622,2243,63,2189,175,1993,0,0,0,0,4,4,0,15,19,0,2007
Jefferson-:-00 198,2352,115,2242,1631,375,15,161,0,0,0,2,100,0,17,254,375,1886,78,1813,1342,285,15,165,0,0,0,2,70,0,17,225,285
Jefferson-:-00 199,1578,56,1526,925,558,0,0,0,0,0,6,15,0,5,15,558,1119,37,1088,807,247,0,0,0,0,0,2,15,0,2,15,247
Jefferson-:-00 200,1430,10,1420,10,1390,0,0,0,0,20,0,0,0,0,0,1410,1185,10,1175,10,1145,0,0,0,0,20,0,0,0,0,0,1165
Jefferson-:-00 201,1930,168,1740,16,1728,0,2,0,0,0,0,0,0,0,2,1724,1392,130,1245,13,1238,0,2,0,0,0,0,0,0,0,2,1233
